"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"
"35"	"B.cells.naive"	"V231"	0.065346139	1.25e-20
"36"	"B.cells.naive"	"V238"	-0.05657164	7.67e-16
"37"	"B.cells.naive"	"V241"	-0.008141612	0.246465554
"38"	"B.cells.naive"	"V255"	0.003165792	0.652240839
"39"	"B.cells.naive"	"V256"	-0.011236417	0.109697646
"40"	"B.cells.naive"	"V260"	0.060085525	1.12e-17
"41"	"B.cells.naive"	"V261"	-0.013088715	0.062426072
"42"	"B.cells.naive"	"V268"	0.057222252	3.57e-16
"43"	"B.cells.naive"	"V270"	-0.133837467	1.22e-81
"44"	"B.cells.naive"	"V281"	0.045989253	5.75e-11
"45"	"B.cells.naive"	"V284"	-0.119004941	8.1e-65
"46"	"B.cells.naive"	"V286"	-0.036547724	1.95e-07
"47"	"B.cells.naive"	"V287"	-0.10972648	2.55e-55
"48"	"B.cells.naive"	"V294"	0.108878928	1.72e-54
"49"	"B.cells.naive"	"V308"	-0.002288589	0.744590183
"50"	"B.cells.naive"	"V327"	0.034721821	7.65e-07
"51"	"B.cells.naive"	"V337"	-0.05005776	1e-12
"52"	"B.cells.naive"	"V362"	-0.041145779	4.64e-09
"53"	"B.cells.naive"	"V370"	0.010862635	0.122022279
"54"	"B.cells.naive"	"V375"	0.044682225	1.97e-10
"55"	"B.cells.naive"	"V385"	0.066853261	1.62e-21
"56"	"B.cells.naive"	"V386"	-0.007592974	0.27975277
"57"	"B.cells.naive"	"V392"	0.006420874	0.360706164
"58"	"B.cells.naive"	"V393"	0.129393502	2.18e-76
"59"	"B.cells.naive"	"V400"	0.127682647	2.06e-74
"60"	"B.cells.naive"	"V403"	0.081749569	2.12e-31
"61"	"B.cells.naive"	"V405"	0.020518814	0.003487317
"62"	"B.cells.naive"	"V423"	0.067232213	9.58e-22
"63"	"B.cells.naive"	"V431"	0.057439856	2.76e-16
"64"	"B.cells.naive"	"V435"	0.054880351	5.36e-15
"65"	"B.cells.naive"	"V451"	-0.248233622	3.13e-282
"66"	"B.cells.naive"	"V452"	-0.053208465	3.47e-14
"67"	"B.cells.naive"	"V455"	-0.031935032	5.44e-06
"68"	"B.cells.naive"	"V458"	-0.091756744	3.8e-39
"69"	"B.cells.naive"	"V461"	0.036112775	2.71e-07
"70"	"B.cells.naive"	"V464"	0.059866548	1.47e-17
"71"	"B.cells.naive"	"V469"	0.045770018	7.09e-11
"72"	"B.cells.naive"	"V473"	0.042136539	1.96e-09
"73"	"B.cells.naive"	"V479"	0.040049996	1.17e-08
"74"	"B.cells.naive"	"V484"	-0.055712885	2.07e-15
"75"	"B.cells.naive"	"V493"	0.094569664	1.74e-41
"76"	"B.cells.naive"	"V504"	0.025969902	0.000217787
"77"	"B.cells.naive"	"V519"	0.059855911	1.49e-17
"78"	"B.cells.naive"	"V527"	0.051645674	1.89e-13
"79"	"B.cells.naive"	"V528"	-0.092133884	1.86e-39
"80"	"B.cells.naive"	"V533"	-0.094754867	1.21e-41
"81"	"B.cells.naive"	"V537"	0.03605998	2.82e-07
"82"	"B.cells.naive"	"V562"	-0.087994428	3.96e-36
"83"	"B.cells.naive"	"V570"	-0.033153356	2.35e-06
"84"	"B.cells.naive"	"V576"	0.020481669	0.003546985
"85"	"B.cells.naive"	"V590"	0.156242345	6.35e-111
"86"	"B.cells.naive"	"V592"	0.186029849	3.16e-157
"87"	"B.cells.naive"	"V611"	0.113850749	1.91e-59
"88"	"B.cells.naive"	"V625"	0.001463971	0.834919525
"89"	"B.cells.naive"	"V626"	-0.025689686	0.000254659
"90"	"B.cells.naive"	"V628"	0.089048246	5.82e-37
"91"	"B.cells.naive"	"V632"	-0.042680392	1.21e-09
"92"	"B.cells.naive"	"V645"	-0.003045098	0.664672982
"93"	"B.cells.naive"	"V648"	0.05146465	2.29e-13
"94"	"B.cells.naive"	"V657"	0.025485868	0.000285072
"95"	"B.cells.naive"	"V658"	-0.161957839	3.78e-119
"96"	"B.cells.naive"	"V662"	-0.008289464	0.23799036
"97"	"B.cells.naive"	"V663"	-0.027550971	8.76e-05
"98"	"B.cells.naive"	"V675"	0.132758385	2.39e-80
"99"	"B.cells.naive"	"V677"	-0.469295775	0
"100"	"B.cells.naive"	"V678"	-0.032154797	4.69e-06
"101"	"B.cells.naive"	"V681"	0.157974613	2.2e-113
"102"	"B.cells.naive"	"V684"	-0.050942723	3.98e-13
"103"	"B.cells.naive"	"V689"	0.064447171	4.17e-20
"104"	"B.cells.naive"	"V702"	-0.057342352	3.1e-16
"105"	"B.cells.naive"	"V703"	-0.018912611	0.007092928
"106"	"B.cells.naive"	"V710"	0.006880051	0.327389176
"107"	"B.cells.naive"	"V719"	0.088998963	6.37e-37
"108"	"B.cells.naive"	"V723"	0.046478617	3.6e-11
"109"	"B.cells.naive"	"V731"	0.073816653	6.83e-26
"110"	"B.cells.naive"	"V743"	0.092012105	2.34e-39
"111"	"B.cells.naive"	"V746"	0.036258158	2.43e-07
"112"	"B.cells.naive"	"V750"	-0.202257901	4.46e-186
"113"	"B.cells.naive"	"V759"	-0.125149283	1.53e-71
"114"	"B.cells.naive"	"V772"	-0.117599355	2.5e-63
"115"	"B.cells.naive"	"V774"	0.08453322	1.83e-33
"116"	"B.cells.naive"	"V790"	0.043461399	6.03e-10
"117"	"B.cells.naive"	"V792"	0.032850216	2.9e-06
"118"	"B.cells.naive"	"V794"	0.105806128	1.53e-51
"119"	"B.cells.naive"	"V802"	0.011324541	0.106940339
"120"	"B.cells.naive"	"V804"	0.132330891	7.72e-80
"121"	"B.cells.naive"	"V810"	-0.099359481	1.24e-45
"122"	"B.cells.naive"	"V814"	-0.168377763	9.26e-129
"123"	"B.cells.naive"	"V817"	0.003227727	0.645898204
"124"	"B.cells.naive"	"V820"	-0.027629761	8.36e-05
"125"	"B.cells.naive"	"V821"	0.233852907	8.14e-250
"126"	"B.cells.naive"	"V822"	0.059956942	1.31e-17
"127"	"B.cells.naive"	"V823"	0.102313031	2.7e-48
"128"	"B.cells.naive"	"V830"	-0.052939947	4.65e-14
"129"	"B.cells.naive"	"V834"	-0.046837309	2.54e-11
"130"	"B.cells.naive"	"V838"	0.09916811	1.83e-45
"131"	"B.cells.naive"	"V844"	-0.063675443	1.15e-19
"132"	"B.cells.naive"	"V851"	-0.061209176	2.75e-18
"133"	"B.cells.memory"	"V13"	0.142639944	1.38e-92
"134"	"B.cells.memory"	"V14"	0.005815961	0.407722301
"135"	"B.cells.memory"	"V17"	-0.068016917	3.22e-22
"136"	"B.cells.memory"	"V23"	-0.094908449	8.98e-42
"137"	"B.cells.memory"	"V25"	0.118507663	2.74e-64
"138"	"B.cells.memory"	"V27"	-0.241581693	5.74e-267
"139"	"B.cells.memory"	"V37"	0.05948675	2.34e-17
"140"	"B.cells.memory"	"V40"	-0.028551789	4.8e-05
"141"	"B.cells.memory"	"V52"	-0.015614744	0.02622301
"142"	"B.cells.memory"	"V54"	0.087191995	1.68e-35
"143"	"B.cells.memory"	"V67"	0.003376081	0.630810633
"144"	"B.cells.memory"	"V68"	0.022328091	0.00147887
"145"	"B.cells.memory"	"V83"	0.117820193	1.46e-63
"146"	"B.cells.memory"	"V94"	0.036269238	2.41e-07
"147"	"B.cells.memory"	"V100"	0.082150297	1.08e-31
"148"	"B.cells.memory"	"V112"	-0.058218613	1.09e-16
"149"	"B.cells.memory"	"V118"	-0.007412297	0.291354727
"150"	"B.cells.memory"	"V119"	0.055964487	1.55e-15
"151"	"B.cells.memory"	"V140"	-0.010147918	0.148572362
"152"	"B.cells.memory"	"V142"	0.042648329	1.25e-09
"153"	"B.cells.memory"	"V149"	0.028648888	4.52e-05
"154"	"B.cells.memory"	"V150"	0.052647231	6.4e-14
"155"	"B.cells.memory"	"V155"	0.078321802	5.96e-29
"156"	"B.cells.memory"	"V157"	0.102903563	7.77e-49
"157"	"B.cells.memory"	"V159"	-0.038850374	3.16e-08
"158"	"B.cells.memory"	"V166"	0.127280816	5.92e-74
"159"	"B.cells.memory"	"V180"	0.045527927	8.92e-11
"160"	"B.cells.memory"	"V184"	-0.135412668	1.52e-83
"161"	"B.cells.memory"	"V189"	0.022162238	0.001603989
"162"	"B.cells.memory"	"V190"	0.042278499	1.73e-09
"163"	"B.cells.memory"	"V205"	0.067168547	1.05e-21
"164"	"B.cells.memory"	"V219"	0.055112031	4.12e-15
"165"	"B.cells.memory"	"V222"	0.040158963	1.07e-08
"166"	"B.cells.memory"	"V227"	-0.036930842	1.45e-07
"167"	"B.cells.memory"	"V231"	0.039316458	2.16e-08
"168"	"B.cells.memory"	"V238"	-0.060094879	1.11e-17
"169"	"B.cells.memory"	"V241"	-0.016971735	0.01568779
"170"	"B.cells.memory"	"V255"	-0.015775391	0.024719042
"171"	"B.cells.memory"	"V256"	-0.059598281	2.04e-17
"172"	"B.cells.memory"	"V260"	0.023689044	0.000744602
"173"	"B.cells.memory"	"V261"	-0.057559949	2.39e-16
"174"	"B.cells.memory"	"V268"	0.049028844	2.88e-12
"175"	"B.cells.memory"	"V270"	-0.111529006	4.19e-57
"176"	"B.cells.memory"	"V281"	0.03846345	4.32e-08
"177"	"B.cells.memory"	"V284"	-0.100015634	3.22e-46
"178"	"B.cells.memory"	"V286"	-0.033554241	1.77e-06
"179"	"B.cells.memory"	"V287"	-0.076422079	1.22e-27
"180"	"B.cells.memory"	"V294"	0.095504507	2.8e-42
"181"	"B.cells.memory"	"V308"	-0.002873358	0.682522668
"182"	"B.cells.memory"	"V327"	-0.039239044	2.3e-08
"183"	"B.cells.memory"	"V337"	-0.042680684	1.21e-09
"184"	"B.cells.memory"	"V362"	-0.031719133	6.29e-06
"185"	"B.cells.memory"	"V370"	0.015260683	0.029819211
"186"	"B.cells.memory"	"V375"	0.06259015	4.73e-19
"187"	"B.cells.memory"	"V385"	0.067465124	6.94e-22
"188"	"B.cells.memory"	"V386"	0.004130711	0.556526357
"189"	"B.cells.memory"	"V392"	-0.025104992	0.000351224
"190"	"B.cells.memory"	"V393"	0.118107801	7.27e-64
"191"	"B.cells.memory"	"V400"	0.099666988	6.6e-46
"192"	"B.cells.memory"	"V403"	0.037219323	1.16e-07
"193"	"B.cells.memory"	"V405"	0.014332118	0.041322378
"194"	"B.cells.memory"	"V423"	0.071404058	2.5e-24
"195"	"B.cells.memory"	"V431"	0.011030743	0.116351578
"196"	"B.cells.memory"	"V435"	0.041310029	4.03e-09
"197"	"B.cells.memory"	"V451"	-0.171675973	7.52e-134
"198"	"B.cells.memory"	"V452"	-0.027747563	7.79e-05
"199"	"B.cells.memory"	"V455"	-0.032119318	4.8e-06
"200"	"B.cells.memory"	"V458"	-0.06227644	7.08e-19
"201"	"B.cells.memory"	"V461"	0.032411118	3.93e-06
"202"	"B.cells.memory"	"V464"	0.048811863	3.59e-12
"203"	"B.cells.memory"	"V469"	0.040940955	5.53e-09
"204"	"B.cells.memory"	"V473"	0.061395527	2.17e-18
"205"	"B.cells.memory"	"V479"	0.025400577	0.000298782
"206"	"B.cells.memory"	"V484"	-0.014974689	0.033026149
"207"	"B.cells.memory"	"V493"	0.058109681	1.24e-16
"208"	"B.cells.memory"	"V504"	0.045426334	9.81e-11
"209"	"B.cells.memory"	"V519"	0.057160916	3.84e-16
"210"	"B.cells.memory"	"V527"	0.075528895	4.93e-27
"211"	"B.cells.memory"	"V528"	-0.08112891	6e-31
"212"	"B.cells.memory"	"V533"	-0.061035236	3.42e-18
"213"	"B.cells.memory"	"V537"	0.000456374	0.948202002
"214"	"B.cells.memory"	"V562"	-0.081048891	6.86e-31
"215"	"B.cells.memory"	"V570"	-0.002055653	0.76981083
"216"	"B.cells.memory"	"V576"	-0.004496767	0.522096097
"217"	"B.cells.memory"	"V590"	0.253107605	1.03e-293
"218"	"B.cells.memory"	"V592"	0.176165196	6.02e-141
"219"	"B.cells.memory"	"V611"	0.108856405	1.81e-54
"220"	"B.cells.memory"	"V625"	0.004611071	0.51157382
"221"	"B.cells.memory"	"V626"	-0.019467013	0.005581746
"222"	"B.cells.memory"	"V628"	0.035416755	4.58e-07
"223"	"B.cells.memory"	"V632"	-0.042648077	1.25e-09
"224"	"B.cells.memory"	"V645"	-0.004610769	0.511601457
"225"	"B.cells.memory"	"V648"	0.021489986	0.00221743
"226"	"B.cells.memory"	"V657"	0.011556305	0.099950426
"227"	"B.cells.memory"	"V658"	-0.10401088	7.36e-50
"228"	"B.cells.memory"	"V662"	0.014573269	0.038022339
"229"	"B.cells.memory"	"V663"	-0.021598112	0.002106097
"230"	"B.cells.memory"	"V675"	0.103632536	1.65e-49
"231"	"B.cells.memory"	"V677"	-0.221487592	1.16e-223
"232"	"B.cells.memory"	"V678"	-0.043826952	4.33e-10
"233"	"B.cells.memory"	"V681"	0.094854937	9.97e-42
"234"	"B.cells.memory"	"V684"	-0.01251849	0.074736859
"235"	"B.cells.memory"	"V689"	0.014627236	0.037315323
"236"	"B.cells.memory"	"V702"	0.022065654	0.001681269
"237"	"B.cells.memory"	"V703"	-0.008361802	0.233919622
"238"	"B.cells.memory"	"V710"	0.005897464	0.401182749
"239"	"B.cells.memory"	"V719"	0.094652465	1.48e-41
"240"	"B.cells.memory"	"V723"	0.045634908	8.06e-11
"241"	"B.cells.memory"	"V731"	0.060107918	1.09e-17
"242"	"B.cells.memory"	"V743"	0.082332479	7.95e-32
"243"	"B.cells.memory"	"V746"	0.027281306	0.000102661
"244"	"B.cells.memory"	"V750"	-0.149363554	1.97e-101
"245"	"B.cells.memory"	"V759"	-0.118681472	1.79e-64
"246"	"B.cells.memory"	"V772"	-0.100481497	1.23e-46
"247"	"B.cells.memory"	"V774"	0.055388736	3.01e-15
"248"	"B.cells.memory"	"V790"	0.038429768	4.44e-08
"249"	"B.cells.memory"	"V792"	0.036410434	2.16e-07
"250"	"B.cells.memory"	"V794"	0.099971906	3.53e-46
"251"	"B.cells.memory"	"V802"	0.041059102	5e-09
"252"	"B.cells.memory"	"V804"	0.129256919	3.15e-76
"253"	"B.cells.memory"	"V810"	-0.05732526	3.16e-16
"254"	"B.cells.memory"	"V814"	-0.120142836	4.89e-66
"255"	"B.cells.memory"	"V817"	-0.002439393	0.728405042
"256"	"B.cells.memory"	"V820"	-0.026697777	0.000144053
"257"	"B.cells.memory"	"V821"	0.211787324	3.09e-204
"258"	"B.cells.memory"	"V822"	0.044137392	3.26e-10
"259"	"B.cells.memory"	"V823"	0.085262764	5.12e-34
"260"	"B.cells.memory"	"V830"	-0.033844896	1.44e-06
"261"	"B.cells.memory"	"V834"	-0.026088539	0.00020374
"262"	"B.cells.memory"	"V838"	0.108686298	2.64e-54
"263"	"B.cells.memory"	"V844"	-0.0442089	3.05e-10
"264"	"B.cells.memory"	"V851"	-0.049795021	1.32e-12
"265"	"Plasma.cells"	"V13"	-0.268290434	0
"266"	"Plasma.cells"	"V14"	-0.099785044	5.18e-46
"267"	"Plasma.cells"	"V17"	-0.104295121	4e-50
"268"	"Plasma.cells"	"V23"	0.504926716	0
"269"	"Plasma.cells"	"V25"	0.012742151	0.069690373
"270"	"Plasma.cells"	"V27"	-0.128706305	1.37e-75
"271"	"Plasma.cells"	"V37"	-0.137995536	1.01e-86
"272"	"Plasma.cells"	"V40"	-0.044129681	3.28e-10
"273"	"Plasma.cells"	"V52"	-0.010112313	0.15000217
"274"	"Plasma.cells"	"V54"	-0.005946976	0.397240982
"275"	"Plasma.cells"	"V67"	0.016399075	0.01956621
"276"	"Plasma.cells"	"V68"	0.08537887	4.18e-34
"277"	"Plasma.cells"	"V83"	0.016778873	0.016910894
"278"	"Plasma.cells"	"V94"	-0.000204268	0.976802731
"279"	"Plasma.cells"	"V100"	0.124046234	2.62e-70
"280"	"Plasma.cells"	"V112"	-0.004761639	0.497884044
"281"	"Plasma.cells"	"V118"	-0.157621344	7.03e-113
"282"	"Plasma.cells"	"V119"	0.070578827	8.35e-24
"283"	"Plasma.cells"	"V140"	0.10685589	1.53e-52
"284"	"Plasma.cells"	"V142"	0.191463394	1.35e-166
"285"	"Plasma.cells"	"V149"	-0.081448642	3.52e-31
"286"	"Plasma.cells"	"V150"	0.069622387	3.31e-23
"287"	"Plasma.cells"	"V155"	0.113979615	1.41e-59
"288"	"Plasma.cells"	"V157"	0.123261518	1.94e-69
"289"	"Plasma.cells"	"V159"	0.012811935	0.068174331
"290"	"Plasma.cells"	"V166"	0.157910891	2.71e-113
"291"	"Plasma.cells"	"V180"	-0.044120959	3.31e-10
"292"	"Plasma.cells"	"V184"	0.276729665	0
"293"	"Plasma.cells"	"V189"	0.024104239	0.000599733
"294"	"Plasma.cells"	"V190"	0.207662719	2.89e-196
"295"	"Plasma.cells"	"V205"	-0.078302118	6.16e-29
"296"	"Plasma.cells"	"V219"	-0.019973508	0.004461949
"297"	"Plasma.cells"	"V222"	-0.015422211	0.02812911
"298"	"Plasma.cells"	"V227"	0.078202808	7.22e-29
"299"	"Plasma.cells"	"V231"	0.065555989	9.46e-21
"300"	"Plasma.cells"	"V238"	-0.08915568	4.78e-37
"301"	"Plasma.cells"	"V241"	0.010933041	0.119621543
"302"	"Plasma.cells"	"V255"	-0.227164256	1.79e-235
"303"	"Plasma.cells"	"V256"	0.142980295	5.05e-93
"304"	"Plasma.cells"	"V260"	0.001323105	0.850606994
"305"	"Plasma.cells"	"V261"	-0.030808134	1.15e-05
"306"	"Plasma.cells"	"V268"	0.119680873	1.53e-65
"307"	"Plasma.cells"	"V270"	-0.096656407	2.87e-43
"308"	"Plasma.cells"	"V281"	0.056294048	1.06e-15
"309"	"Plasma.cells"	"V284"	-0.143151347	3.04e-93
"310"	"Plasma.cells"	"V286"	-0.039476997	1.89e-08
"311"	"Plasma.cells"	"V287"	0.20511581	1.99e-191
"312"	"Plasma.cells"	"V294"	0.111722863	2.68e-57
"313"	"Plasma.cells"	"V308"	-0.016149862	0.021500312
"314"	"Plasma.cells"	"V327"	-0.096592222	3.26e-43
"315"	"Plasma.cells"	"V337"	0.007493017	0.28613199
"316"	"Plasma.cells"	"V362"	0.237686761	3.02e-258
"317"	"Plasma.cells"	"V370"	-0.046971428	2.23e-11
"318"	"Plasma.cells"	"V375"	-0.003155443	0.653303124
"319"	"Plasma.cells"	"V385"	-0.001050623	0.881114847
"320"	"Plasma.cells"	"V386"	0.114129844	9.92e-60
"321"	"Plasma.cells"	"V392"	0.00770562	0.272680456
"322"	"Plasma.cells"	"V393"	0.079168914	1.51e-29
"323"	"Plasma.cells"	"V400"	-0.071604182	1.86e-24
"324"	"Plasma.cells"	"V403"	0.184258127	3.12e-154
"325"	"Plasma.cells"	"V405"	-0.053888768	1.63e-14
"326"	"Plasma.cells"	"V423"	-0.097736999	3.32e-44
"327"	"Plasma.cells"	"V431"	0.109962262	1.49e-55
"328"	"Plasma.cells"	"V435"	0.053636751	2.16e-14
"329"	"Plasma.cells"	"V451"	-0.039881871	1.35e-08
"330"	"Plasma.cells"	"V452"	-0.179267309	5.78e-146
"331"	"Plasma.cells"	"V455"	-0.040681744	6.9e-09
"332"	"Plasma.cells"	"V458"	-0.151412886	3.26e-104
"333"	"Plasma.cells"	"V461"	0.045070429	1.37e-10
"334"	"Plasma.cells"	"V464"	0.088740797	1.02e-36
"335"	"Plasma.cells"	"V469"	0.126310854	7.51e-73
"336"	"Plasma.cells"	"V473"	0.06871212	1.21e-22
"337"	"Plasma.cells"	"V479"	0.0473784	1.5e-11
"338"	"Plasma.cells"	"V484"	0.230184219	6.84e-242
"339"	"Plasma.cells"	"V493"	0.142722379	1.09e-92
"340"	"Plasma.cells"	"V504"	0.30872841	0
"341"	"Plasma.cells"	"V519"	-0.012032202	0.086741052
"342"	"Plasma.cells"	"V527"	-0.03214003	4.73e-06
"343"	"Plasma.cells"	"V528"	-0.046299097	4.28e-11
"344"	"Plasma.cells"	"V533"	-0.137044433	1.52e-85
"345"	"Plasma.cells"	"V537"	-0.046141115	4.97e-11
"346"	"Plasma.cells"	"V562"	0.027549828	8.76e-05
"347"	"Plasma.cells"	"V570"	-0.001603342	0.819462985
"348"	"Plasma.cells"	"V576"	0.133425977	3.81e-81
"349"	"Plasma.cells"	"V590"	-0.018561819	0.008229618
"350"	"Plasma.cells"	"V592"	-0.091262441	9.62e-39
"351"	"Plasma.cells"	"V611"	0.110379518	5.8e-56
"352"	"Plasma.cells"	"V625"	0.184037432	7.32e-154
"353"	"Plasma.cells"	"V626"	0.013654185	0.051924075
"354"	"Plasma.cells"	"V628"	-0.003279005	0.640666293
"355"	"Plasma.cells"	"V632"	-0.097977425	2.04e-44
"356"	"Plasma.cells"	"V645"	-0.050437734	6.75e-13
"357"	"Plasma.cells"	"V648"	-0.184300427	2.65e-154
"358"	"Plasma.cells"	"V657"	-0.12743062	3.99e-74
"359"	"Plasma.cells"	"V658"	-0.141661505	2.48e-91
"360"	"Plasma.cells"	"V662"	0.031172173	9.06e-06
"361"	"Plasma.cells"	"V663"	-0.096467866	4.18e-43
"362"	"Plasma.cells"	"V675"	0.139997466	3.18e-89
"363"	"Plasma.cells"	"V677"	0.019864184	0.004684801
"364"	"Plasma.cells"	"V678"	-0.048272306	6.17e-12
"365"	"Plasma.cells"	"V681"	0.140147328	2.06e-89
"366"	"Plasma.cells"	"V684"	-0.195534091	8.28e-174
"367"	"Plasma.cells"	"V689"	0.116770283	1.85e-62
"368"	"Plasma.cells"	"V702"	-0.069533259	3.76e-23
"369"	"Plasma.cells"	"V703"	-0.048862982	3.41e-12
"370"	"Plasma.cells"	"V710"	-0.181063615	6.51e-149
"371"	"Plasma.cells"	"V719"	0.190257341	1.71e-164
"372"	"Plasma.cells"	"V723"	0.147518171	5.81e-99
"373"	"Plasma.cells"	"V731"	0.020598367	0.00336259
"374"	"Plasma.cells"	"V743"	0.087070046	2.09e-35
"375"	"Plasma.cells"	"V746"	0.18691602	9.81e-159
"376"	"Plasma.cells"	"V750"	0.225621399	3.14e-232
"377"	"Plasma.cells"	"V759"	-0.06481051	2.57e-20
"378"	"Plasma.cells"	"V772"	-0.100379904	1.52e-46
"379"	"Plasma.cells"	"V774"	0.101631194	1.13e-47
"380"	"Plasma.cells"	"V790"	0.038961231	2.89e-08
"381"	"Plasma.cells"	"V792"	0.004209688	0.549005225
"382"	"Plasma.cells"	"V794"	0.197501768	2.37e-177
"383"	"Plasma.cells"	"V802"	0.246172665	1.88e-277
"384"	"Plasma.cells"	"V804"	0.233907778	6.18e-250
"385"	"Plasma.cells"	"V810"	0.403906326	0
"386"	"Plasma.cells"	"V814"	-0.080235852	2.64e-30
"387"	"Plasma.cells"	"V817"	-0.068051258	3.06e-22
"388"	"Plasma.cells"	"V820"	0.121991293	4.83e-68
"389"	"Plasma.cells"	"V821"	0.010417919	0.138066378
"390"	"Plasma.cells"	"V822"	0.036581272	1.9e-07
"391"	"Plasma.cells"	"V823"	0.066755936	1.85e-21
"392"	"Plasma.cells"	"V830"	-0.108727197	2.41e-54
"393"	"Plasma.cells"	"V834"	-0.093314356	1.96e-40
"394"	"Plasma.cells"	"V838"	0.022472727	0.001377164
"395"	"Plasma.cells"	"V844"	-0.049526837	1.73e-12
"396"	"Plasma.cells"	"V851"	-0.166288247	1.37e-125
"397"	"T.cells.CD8"	"V13"	0.064074107	6.83e-20
"398"	"T.cells.CD8"	"V14"	0.00354322	0.613995261
"399"	"T.cells.CD8"	"V17"	-0.059263699	3.08e-17
"400"	"T.cells.CD8"	"V23"	-0.091561116	5.49e-39
"401"	"T.cells.CD8"	"V25"	0.101331639	2.11e-47
"402"	"T.cells.CD8"	"V27"	-0.170923743	1.11e-132
"403"	"T.cells.CD8"	"V37"	0.135517555	1.13e-83
"404"	"T.cells.CD8"	"V40"	-0.039453409	1.93e-08
"405"	"T.cells.CD8"	"V52"	-0.013417716	0.056120757
"406"	"T.cells.CD8"	"V54"	0.060605944	5.86e-18
"407"	"T.cells.CD8"	"V67"	0.023813942	0.000697924
"408"	"T.cells.CD8"	"V68"	-0.109140556	9.54e-55
"409"	"T.cells.CD8"	"V83"	0.022062417	0.001683918
"410"	"T.cells.CD8"	"V94"	0.042437091	1.51e-09
"411"	"T.cells.CD8"	"V100"	0.030119279	1.8e-05
"412"	"T.cells.CD8"	"V112"	-0.035421102	4.56e-07
"413"	"T.cells.CD8"	"V118"	-0.059361477	2.73e-17
"414"	"T.cells.CD8"	"V119"	0.058060499	1.32e-16
"415"	"T.cells.CD8"	"V140"	-0.05952205	2.24e-17
"416"	"T.cells.CD8"	"V142"	0.078166926	7.65e-29
"417"	"T.cells.CD8"	"V149"	0.100580739	1e-46
"418"	"T.cells.CD8"	"V150"	-0.021473374	0.002235005
"419"	"T.cells.CD8"	"V155"	0.114094295	1.08e-59
"420"	"T.cells.CD8"	"V157"	0.080317443	2.31e-30
"421"	"T.cells.CD8"	"V159"	-0.043694358	4.88e-10
"422"	"T.cells.CD8"	"V166"	0.044460795	2.42e-10
"423"	"T.cells.CD8"	"V180"	-0.026974424	0.000122781
"424"	"T.cells.CD8"	"V184"	-0.10751807	3.56e-53
"425"	"T.cells.CD8"	"V189"	-0.03564032	3.87e-07
"426"	"T.cells.CD8"	"V190"	0.112621887	3.36e-58
"427"	"T.cells.CD8"	"V205"	-0.018889971	0.007161797
"428"	"T.cells.CD8"	"V219"	0.092740691	5.88e-40
"429"	"T.cells.CD8"	"V222"	-0.009067205	0.196792983
"430"	"T.cells.CD8"	"V227"	-0.181704128	5.69e-150
"431"	"T.cells.CD8"	"V231"	0.117025094	1e-62
"432"	"T.cells.CD8"	"V238"	-0.059967937	1.3e-17
