"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"	"mTC"
"160"	"B.cells.memory"	"V184"	-0.305	0	17
"161"	"B.cells.memory"	"V189"	0.00112	0.873196006	18
"162"	"B.cells.memory"	"V190"	0.185	1.21e-154	19
"163"	"B.cells.memory"	"V205"	0.164	7.31e-123	20
"164"	"B.cells.memory"	"V219"	0.174	1.06e-137	21
"165"	"B.cells.memory"	"V222"	0.219	7.72e-219	22
"166"	"B.cells.memory"	"V227"	0.154	1.28e-107	23
"167"	"B.cells.memory"	"V231"	0.221	4.55e-222	25
"168"	"B.cells.memory"	"V238"	-0.416	0	26
"169"	"B.cells.memory"	"V241"	0.0875	9.73e-36	27
"170"	"B.cells.memory"	"V255"	-0.233	3.88e-247	29
"171"	"B.cells.memory"	"V256"	-0.0915	6.58e-39	30
"172"	"B.cells.memory"	"V260"	0.0133	0.057970217	31
"173"	"B.cells.memory"	"V261"	0.0471	2.03e-11	32
"174"	"B.cells.memory"	"V268"	0.24	5.36e-264	33
"175"	"B.cells.memory"	"V270"	-0.412	0	35
"176"	"B.cells.memory"	"V281"	0.379	0	36
"177"	"B.cells.memory"	"V284"	-0.0883	2.34e-36	37
"178"	"B.cells.memory"	"V286"	-0.0789	2.43e-29	38
"179"	"B.cells.memory"	"V287"	-0.158	7.71e-113	39
"180"	"B.cells.memory"	"V294"	0.282	0	40
"181"	"B.cells.memory"	"V308"	0.0538	1.71e-14	41
"182"	"B.cells.memory"	"V327"	-0.142	1.61e-91	42
"183"	"B.cells.memory"	"V337"	-0.0398	1.4e-08	43
"184"	"B.cells.memory"	"V362"	0.0846	1.75e-33	44
"185"	"B.cells.memory"	"V370"	-0.0623	7.08e-19	46
"186"	"B.cells.memory"	"V375"	-0.0149	0.034204327	47
"187"	"B.cells.memory"	"V385"	0.215	3.46e-211	48
"188"	"B.cells.memory"	"V386"	-0.0411	4.78e-09	49
"189"	"B.cells.memory"	"V392"	0.0421	2.1e-09	50
"190"	"B.cells.memory"	"V393"	0.256	1.28e-299	51
"191"	"B.cells.memory"	"V400"	0.188	2.94e-161	53
"192"	"B.cells.memory"	"V403"	0.217	4.58e-215	54
"193"	"B.cells.memory"	"V405"	-0.142	3.68e-92	55
"194"	"B.cells.memory"	"V423"	0.248	1.75e-282	56
"195"	"B.cells.memory"	"V431"	0.125	1.49e-71	57
"196"	"B.cells.memory"	"V435"	-0.0257	0.000246602	58
"197"	"B.cells.memory"	"V451"	-0.337	0	59
"198"	"B.cells.memory"	"V452"	-0.0439	4.2e-10	60
"199"	"B.cells.memory"	"V455"	-0.376	0	61
"200"	"B.cells.memory"	"V458"	-0.248	1.11e-280	62
"201"	"B.cells.memory"	"V461"	0.0832	1.92e-32	63
"202"	"B.cells.memory"	"V464"	0.354	0	64
"203"	"B.cells.memory"	"V469"	0.278	0	65
"204"	"B.cells.memory"	"V473"	-0.116	1.09e-61	66
"205"	"B.cells.memory"	"V479"	-0.0256	0.000269673	67
"206"	"B.cells.memory"	"V484"	0.174	1.03e-137	68
"207"	"B.cells.memory"	"V493"	0.229	1.5e-238	69
"208"	"B.cells.memory"	"V504"	0.239	4.17e-261	70
"209"	"B.cells.memory"	"V519"	0.298	0	71
"210"	"B.cells.memory"	"V527"	0.255	1.94e-299	73
"211"	"B.cells.memory"	"V528"	-0.207	1.32e-194	74
"212"	"B.cells.memory"	"V533"	-0.0227	0.001213026	75
"213"	"B.cells.memory"	"V537"	0.0534	2.95e-14	76
"214"	"B.cells.memory"	"V562"	-0.156	1.46e-110	78
"215"	"B.cells.memory"	"V570"	0.0539	1.63e-14	79
"216"	"B.cells.memory"	"V576"	0.054	1.41e-14	80
"217"	"B.cells.memory"	"V590"	0.0926	7.95e-40	81
"218"	"B.cells.memory"	"V592"	-0.156	1.3e-110	82
"219"	"B.cells.memory"	"V611"	0.432	0	83
"220"	"B.cells.memory"	"V625"	0.0936	1.15e-40	84
"221"	"B.cells.memory"	"V626"	-0.0786	3.96e-29	85
"222"	"B.cells.memory"	"V628"	0.162	2.8e-119	86
"223"	"B.cells.memory"	"V632"	-0.229	1.41e-239	87
"224"	"B.cells.memory"	"V645"	0.145	7.79e-96	88
"225"	"B.cells.memory"	"V648"	-0.154	2.76e-108	89
"226"	"B.cells.memory"	"V657"	-0.128	4.93e-75	90
"227"	"B.cells.memory"	"V658"	-0.343	0	91
"228"	"B.cells.memory"	"V662"	0.114	1.48e-59	92
"229"	"B.cells.memory"	"V663"	-0.0895	2.73e-37	93
"230"	"B.cells.memory"	"V675"	0.324	0	95
"231"	"B.cells.memory"	"V677"	-0.0478	1.02e-11	96
"232"	"B.cells.memory"	"V678"	0.00187	0.79005746	97
"233"	"B.cells.memory"	"V681"	0.0306	1.3e-05	99
"234"	"B.cells.memory"	"V684"	-0.194	4.38e-171	100
"235"	"B.cells.memory"	"V689"	0.0208	0.003073728	101
"236"	"B.cells.memory"	"V702"	-0.0136	0.053352364	102
"237"	"B.cells.memory"	"V703"	0.0478	1.02e-11	103
"238"	"B.cells.memory"	"V710"	-0.0131	0.062656335	104
"239"	"B.cells.memory"	"V719"	0.372	0	105
"240"	"B.cells.memory"	"V723"	0.202	8.48e-186	106
"241"	"B.cells.memory"	"V731"	0.24	7.89e-264	107
"242"	"B.cells.memory"	"V743"	0.427	0	108
"243"	"B.cells.memory"	"V746"	0.0463	4.28e-11	109
"244"	"B.cells.memory"	"V750"	-0.301	0	110
"245"	"B.cells.memory"	"V759"	-0.374	0	111
"246"	"B.cells.memory"	"V772"	-0.317	0	112
"247"	"B.cells.memory"	"V774"	0.184	2.82e-153	113
"248"	"B.cells.memory"	"V790"	0.254	6.35e-297	114
"249"	"B.cells.memory"	"V792"	0.133	3.67e-80	115
"250"	"B.cells.memory"	"V794"	0.349	0	116
"251"	"B.cells.memory"	"V802"	0.227	8.1e-236	117
"252"	"B.cells.memory"	"V804"	0.334	0	118
"253"	"B.cells.memory"	"V810"	0.0454	1.05e-10	119
"254"	"B.cells.memory"	"V814"	-0.0982	1.19e-44	120
"255"	"B.cells.memory"	"V817"	-0.0106	0.129814114	121
"256"	"B.cells.memory"	"V820"	0.0621	8.69e-19	122
"257"	"B.cells.memory"	"V821"	0.399	0	123
"258"	"B.cells.memory"	"V822"	0.122	4.98e-68	124
"259"	"B.cells.memory"	"V823"	0.219	1.02e-218	125
"260"	"B.cells.memory"	"V830"	-0.0876	7.78e-36	127
"261"	"B.cells.memory"	"V834"	-0.226	2.67e-232	128
"262"	"B.cells.memory"	"V838"	0.359	0	129
"263"	"B.cells.memory"	"V844"	-0.0745	2.44e-26	130
"264"	"B.cells.memory"	"V851"	-0.176	1.83e-141	131
"265"	"Plasma.cells"	"V13"	-0.394	0	5
"266"	"Plasma.cells"	"V14"	-0.0936	1.08e-40	6
"267"	"Plasma.cells"	"V17"	-0.0374	9.8e-08	15
"268"	"Plasma.cells"	"V23"	0.514	0	24
"269"	"Plasma.cells"	"V25"	-0.269	0	28
"270"	"Plasma.cells"	"V27"	-0.193	8.73e-170	34
"271"	"Plasma.cells"	"V37"	0.0462	4.58e-11	45
"272"	"Plasma.cells"	"V40"	0.0138	0.050160194	52
"273"	"Plasma.cells"	"V52"	-0.0176	0.012289982	72
"274"	"Plasma.cells"	"V54"	-0.207	1.31e-195	77
"275"	"Plasma.cells"	"V67"	-0.0434	6.28e-10	94
"276"	"Plasma.cells"	"V68"	-0.0155	0.027392956	98
"277"	"Plasma.cells"	"V83"	-0.104	3.03e-50	126
"278"	"Plasma.cells"	"V94"	-0.0715	2.18e-24	132
"279"	"Plasma.cells"	"V100"	-0.0434	6.52e-10	1
"280"	"Plasma.cells"	"V112"	0.0457	7.86e-11	2
"281"	"Plasma.cells"	"V118"	-0.219	2.49e-218	3
"282"	"Plasma.cells"	"V119"	-0.0279	7.08e-05	4
"283"	"Plasma.cells"	"V140"	-0.122	6.91e-68	7
"284"	"Plasma.cells"	"V142"	-0.00826	0.239934762	8
"285"	"Plasma.cells"	"V149"	0.108	3.08e-53	9
"286"	"Plasma.cells"	"V150"	0.041	5.08e-09	10
"287"	"Plasma.cells"	"V155"	-0.00212	0.763315849	11
"288"	"Plasma.cells"	"V157"	-0.00443	0.528313978	12
"289"	"Plasma.cells"	"V159"	0.0546	6.96e-15	13
"290"	"Plasma.cells"	"V166"	-0.185	2.34e-155	14
"291"	"Plasma.cells"	"V180"	-0.105	1.59e-50	16
"292"	"Plasma.cells"	"V184"	0.464	0	17
"293"	"Plasma.cells"	"V189"	0.159	9.18e-115	18
"294"	"Plasma.cells"	"V190"	0.251	1.13e-289	19
"295"	"Plasma.cells"	"V205"	0.0797	6.09e-30	20
"296"	"Plasma.cells"	"V219"	-0.0324	3.9e-06	21
"297"	"Plasma.cells"	"V222"	-0.211	1.48e-202	22
"298"	"Plasma.cells"	"V227"	-0.144	4.92e-94	23
"299"	"Plasma.cells"	"V231"	0.127	1.75e-73	25
"300"	"Plasma.cells"	"V238"	-0.136	7.42e-84	26
"301"	"Plasma.cells"	"V241"	-0.233	1.23e-248	27
"302"	"Plasma.cells"	"V255"	-0.0099	0.158624213	29
"303"	"Plasma.cells"	"V256"	-0.0309	1.06e-05	30
"304"	"Plasma.cells"	"V260"	0.0128	0.068510537	31
"305"	"Plasma.cells"	"V261"	-0.308	0	32
"306"	"Plasma.cells"	"V268"	0.12	4.77e-66	33
"307"	"Plasma.cells"	"V270"	0.0836	9.38e-33	35
"308"	"Plasma.cells"	"V281"	-0.129	3.98e-76	36
"309"	"Plasma.cells"	"V284"	-0.289	0	37
"310"	"Plasma.cells"	"V286"	-0.178	2.47e-143	38
"311"	"Plasma.cells"	"V287"	0.28	0	39
"312"	"Plasma.cells"	"V294"	0.0345	8.96e-07	40
"313"	"Plasma.cells"	"V308"	0.0123	0.079628553	41
"314"	"Plasma.cells"	"V327"	-0.178	1.78e-144	42
"315"	"Plasma.cells"	"V337"	0.158	3.56e-113	43
"316"	"Plasma.cells"	"V362"	0.147	1.41e-98	44
"317"	"Plasma.cells"	"V370"	-0.123	3.83e-69	46
"318"	"Plasma.cells"	"V375"	-0.149	2.56e-100	47
"319"	"Plasma.cells"	"V385"	-0.111	5.35e-57	48
"320"	"Plasma.cells"	"V386"	0.129	3.61e-76	49
"321"	"Plasma.cells"	"V392"	-0.095	7.64e-42	50
"322"	"Plasma.cells"	"V393"	-0.035	6.45e-07	51
"323"	"Plasma.cells"	"V400"	0.0205	0.003537227	53
"324"	"Plasma.cells"	"V403"	0.0319	5.47e-06	54
"325"	"Plasma.cells"	"V405"	0.025	0.000373834	55
"326"	"Plasma.cells"	"V423"	0.0102	0.148470284	56
"327"	"Plasma.cells"	"V431"	-0.0207	0.003209069	57
"328"	"Plasma.cells"	"V435"	-0.181	3.39e-148	58
"329"	"Plasma.cells"	"V451"	0.0684	1.79e-22	59
"330"	"Plasma.cells"	"V452"	0.0806	1.51e-30	60
"331"	"Plasma.cells"	"V455"	0.0361	2.78e-07	61
"332"	"Plasma.cells"	"V458"	0.0121	0.085781656	62
"333"	"Plasma.cells"	"V461"	0.0601	1.12e-17	63
"334"	"Plasma.cells"	"V464"	0.113	1.6e-58	64
"335"	"Plasma.cells"	"V469"	0.0881	3.37e-36	65
"336"	"Plasma.cells"	"V473"	0.119	1.41e-64	66
"337"	"Plasma.cells"	"V479"	0.184	4.42e-153	67
"338"	"Plasma.cells"	"V484"	0.0469	2.32e-11	68
"339"	"Plasma.cells"	"V493"	0.15	1.23e-102	69
"340"	"Plasma.cells"	"V504"	0.113	1.88e-58	70
"341"	"Plasma.cells"	"V519"	-0.0613	2.32e-18	71
"342"	"Plasma.cells"	"V527"	0.071	4.85e-24	73
"343"	"Plasma.cells"	"V528"	0.0591	3.64e-17	74
"344"	"Plasma.cells"	"V533"	0.117	1.32e-62	75
"345"	"Plasma.cells"	"V537"	-0.0495	1.76e-12	76
"346"	"Plasma.cells"	"V562"	0.0498	1.26e-12	78
"347"	"Plasma.cells"	"V570"	-0.0307	1.25e-05	79
"348"	"Plasma.cells"	"V576"	0.0981	1.53e-44	80
"349"	"Plasma.cells"	"V590"	0.0512	3.03e-13	81
"350"	"Plasma.cells"	"V592"	-0.0432	7.97e-10	82
"351"	"Plasma.cells"	"V611"	-0.13	5.6e-77	83
"352"	"Plasma.cells"	"V625"	0.0789	2.49e-29	84
"353"	"Plasma.cells"	"V626"	0.0295	2.64e-05	85
"354"	"Plasma.cells"	"V628"	-0.248	1.78e-282	86
"355"	"Plasma.cells"	"V632"	-0.0346	8.37e-07	87
"356"	"Plasma.cells"	"V645"	-0.127	6e-74	88
"357"	"Plasma.cells"	"V648"	-0.122	1.13e-67	89
"358"	"Plasma.cells"	"V657"	0.0611	3.15e-18	90
"359"	"Plasma.cells"	"V658"	0.0326	3.35e-06	91
"360"	"Plasma.cells"	"V662"	0.0238	0.000700928	92
"361"	"Plasma.cells"	"V663"	0.0241	0.000616659	93
"362"	"Plasma.cells"	"V675"	-0.185	8.62e-155	95
"363"	"Plasma.cells"	"V677"	0.0373	1.06e-07	96
"364"	"Plasma.cells"	"V678"	0.0873	1.35e-35	97
"365"	"Plasma.cells"	"V681"	0.0336	1.68e-06	99
"366"	"Plasma.cells"	"V684"	-0.0538	1.76e-14	100
"367"	"Plasma.cells"	"V689"	-0.138	3.29e-87	101
"368"	"Plasma.cells"	"V702"	0.0704	1.07e-23	102
"369"	"Plasma.cells"	"V703"	-0.0292	3.17e-05	103
"370"	"Plasma.cells"	"V710"	-0.189	5.19e-162	104
"371"	"Plasma.cells"	"V719"	-0.0238	0.000705622	105
"372"	"Plasma.cells"	"V723"	-0.182	1.32e-150	106
"373"	"Plasma.cells"	"V731"	-0.0858	1.84e-34	107
"374"	"Plasma.cells"	"V743"	0.0285	4.98e-05	108
"375"	"Plasma.cells"	"V746"	0.168	5.01e-128	109
"376"	"Plasma.cells"	"V750"	0.352	0	110
"377"	"Plasma.cells"	"V759"	-0.0722	7.23e-25	111
"378"	"Plasma.cells"	"V772"	0.0622	7.4e-19	112
"379"	"Plasma.cells"	"V774"	-0.00952	0.1753492	113
"380"	"Plasma.cells"	"V790"	0.0482	6.93e-12	114
"381"	"Plasma.cells"	"V792"	-0.116	1.49e-61	115
"382"	"Plasma.cells"	"V794"	-0.00622	0.375751869	116
"383"	"Plasma.cells"	"V802"	0.217	4.74e-215	117
"384"	"Plasma.cells"	"V804"	0.158	7.02e-114	118
"385"	"Plasma.cells"	"V810"	0.187	1.67e-159	119
"386"	"Plasma.cells"	"V814"	0.0797	5.92e-30	120
"387"	"Plasma.cells"	"V817"	-0.201	9.35e-184	121
"388"	"Plasma.cells"	"V820"	0.0131	0.062840454	122
"389"	"Plasma.cells"	"V821"	0.138	1.29e-86	123
"390"	"Plasma.cells"	"V822"	-0.0489	3.41e-12	124
"391"	"Plasma.cells"	"V823"	-0.0583	1.03e-16	125
"392"	"Plasma.cells"	"V830"	-0.123	3.34e-69	127
"393"	"Plasma.cells"	"V834"	0.0916	5.09e-39	128
"394"	"Plasma.cells"	"V838"	-0.329	0	129
"395"	"Plasma.cells"	"V844"	-0.0248	0.000404931	130
"396"	"Plasma.cells"	"V851"	-0.0662	4.11e-21	131
"397"	"T.cells.CD8"	"V13"	0.0523	9.1e-14	5
"398"	"T.cells.CD8"	"V14"	-0.0697	3.04e-23	6
"399"	"T.cells.CD8"	"V17"	-0.159	6.29e-115	15
"400"	"T.cells.CD8"	"V23"	-0.122	5.24e-68	24
"401"	"T.cells.CD8"	"V25"	0.0581	1.23e-16	28
"402"	"T.cells.CD8"	"V27"	-0.129	1.23e-75	34
"403"	"T.cells.CD8"	"V37"	0.215	4.26e-210	45
"404"	"T.cells.CD8"	"V40"	-0.106	1.57e-51	52
"405"	"T.cells.CD8"	"V52"	-0.000178	0.979755605	72
"406"	"T.cells.CD8"	"V54"	0.0644	4.35e-20	77
"407"	"T.cells.CD8"	"V67"	0.0724	5.8e-25	94
"408"	"T.cells.CD8"	"V68"	-0.123	6.59e-69	98
"409"	"T.cells.CD8"	"V83"	0.021	0.002840876	126
"410"	"T.cells.CD8"	"V94"	-0.0166	0.018087145	132
"411"	"T.cells.CD8"	"V100"	0.0838	5.99e-33	1
"412"	"T.cells.CD8"	"V112"	-0.0588	5.59e-17	2
"413"	"T.cells.CD8"	"V118"	-0.0126	0.073237441	3
"414"	"T.cells.CD8"	"V119"	-0.00212	0.763147893	4
"415"	"T.cells.CD8"	"V140"	-0.136	1.07e-84	7
"416"	"T.cells.CD8"	"V142"	0.145	1.4e-95	8
"417"	"T.cells.CD8"	"V149"	0.162	2.76e-119	9
"418"	"T.cells.CD8"	"V150"	-0.0194	0.005780813	10
"419"	"T.cells.CD8"	"V155"	0.174	7.96e-137	11
"420"	"T.cells.CD8"	"V157"	0.115	4.74e-61	12
"421"	"T.cells.CD8"	"V159"	-0.0585	7.35e-17	13
"422"	"T.cells.CD8"	"V166"	0.0181	0.010010612	14
"423"	"T.cells.CD8"	"V180"	-0.034	1.3e-06	16
"424"	"T.cells.CD8"	"V184"	-0.134	2.75e-82	17
"425"	"T.cells.CD8"	"V189"	-0.0432	7.84e-10	18
"426"	"T.cells.CD8"	"V190"	0.221	1.26e-223	19
"427"	"T.cells.CD8"	"V205"	0.131	3.81e-78	20
