"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"	"mTC"
"49"	"B.cells.naive"	"V466"	-0.124	3.4e-38	81
"50"	"B.cells.naive"	"V467"	-0.0484	4.73e-07	82
"51"	"B.cells.naive"	"V479"	0.00108	0.910321444	83
"52"	"B.cells.naive"	"V482"	0.0284	0.003164982	84
"53"	"B.cells.naive"	"V485"	0.141	7.98e-49	85
"54"	"B.cells.naive"	"V486"	-0.191	1.17e-89	86
"55"	"B.cells.naive"	"V487"	-0.0764	1.73e-15	87
"56"	"B.cells.naive"	"V494"	-0.0019	0.84354678	88
"57"	"B.cells.naive"	"V511"	0.0964	9.81e-24	89
"58"	"B.cells.naive"	"V516"	-0.17	3.72e-71	90
"59"	"B.cells.naive"	"V518"	-0.0343	0.000365513	91
"60"	"B.cells.naive"	"V521"	0.107	7.44e-29	92
"61"	"B.cells.naive"	"V522"	0.201	4.34e-99	93
"62"	"B.cells.naive"	"V523"	0.165	8.24e-67	94
"63"	"B.cells.naive"	"V540"	0.0674	2.33e-12	95
"64"	"B.cells.naive"	"V564"	-0.0286	0.002975852	97
"65"	"B.cells.naive"	"V567"	-0.0523	5.23e-08	98
"66"	"B.cells.naive"	"V579"	-0.0169	0.07805536	99
"67"	"B.cells.naive"	"V593"	0.0624	8.17e-11	100
"68"	"B.cells.naive"	"V601"	0.202	3.01e-100	101
"69"	"B.cells.naive"	"V609"	-0.0283	0.00329213	102
"70"	"B.cells.naive"	"V630"	-0.15	2.21e-55	104
"71"	"B.cells.naive"	"V647"	-0.0859	3.49e-19	105
"72"	"B.cells.naive"	"V649"	-0.0811	2.88e-17	106
"73"	"B.cells.naive"	"V659"	0.0836	3.21e-18	107
"74"	"B.cells.naive"	"V661"	0.053	3.43e-08	108
"75"	"B.cells.naive"	"V668"	0.0768	1.3e-15	109
"76"	"B.cells.naive"	"V669"	0.0345	0.000337287	110
"77"	"B.cells.naive"	"V670"	0.0766	1.46e-15	112
"78"	"B.cells.naive"	"V671"	0.146	2.47e-52	113
"79"	"B.cells.naive"	"V680"	0.0391	4.78e-05	114
"80"	"B.cells.naive"	"V712"	0.0422	1.15e-05	115
"81"	"B.cells.naive"	"V736"	-0.0857	4.5e-19	116
"82"	"B.cells.naive"	"V738"	0.129	1.21e-41	117
"83"	"B.cells.naive"	"V747"	0.0759	2.77e-15	118
"84"	"B.cells.naive"	"V754"	0.0816	1.97e-17	119
"85"	"B.cells.naive"	"V756"	0.168	3.44e-69	120
"86"	"B.cells.naive"	"V758"	0.0854	5.8e-19	121
"87"	"B.cells.naive"	"V773"	-0.0815	2.12e-17	122
"88"	"B.cells.naive"	"V777"	-0.132	1.46e-43	123
"89"	"B.cells.naive"	"V786"	0.0146	0.128440498	124
"90"	"B.cells.naive"	"V788"	-0.0781	4.22e-16	125
"91"	"B.cells.naive"	"V789"	-0.0783	3.63e-16	126
"92"	"B.cells.naive"	"V804"	-0.0499	2.02e-07	128
"93"	"B.cells.naive"	"V814"	0.0611	2.07e-10	129
"94"	"B.cells.naive"	"V825"	0.0601	4.02e-10	131
"95"	"B.cells.naive"	"V833"	-0.164	4.19e-66	132
"96"	"B.cells.naive"	"V839"	-0.146	2.93e-52	133
"97"	"B.cells.naive"	"V840"	0.0844	1.42e-18	134
"98"	"B.cells.naive"	"V843"	0.0533	2.99e-08	135
"99"	"B.cells.naive"	"V856"	-0.00983	0.306647099	136
"100"	"B.cells.naive"	"V870"	0.0448	3.18e-06	137
"101"	"B.cells.naive"	"V881"	-0.0156	0.10460964	138
"102"	"B.cells.naive"	"V882"	0.0185	0.054752397	139
"103"	"B.cells.naive"	"V887"	0.0635	3.72e-11	140
"104"	"B.cells.naive"	"V888"	-0.13	3.76e-42	141
"105"	"B.cells.naive"	"V895"	-0.133	5.57e-44	142
"106"	"B.cells.naive"	"V896"	0.177	1.3e-76	143
"107"	"B.cells.naive"	"V898"	0.173	2.91e-73	144
"108"	"B.cells.naive"	"V923"	-0.0116	0.227548026	145
"109"	"B.cells.naive"	"V926"	-0.116	8.5e-34	146
"110"	"B.cells.naive"	"V946"	-0.0527	4.1e-08	147
"111"	"B.cells.naive"	"V949"	0.0539	2.01e-08	148
"112"	"B.cells.naive"	"V960"	0.0982	1.34e-24	149
"113"	"B.cells.naive"	"V964"	0.0329	0.000631624	150
"114"	"B.cells.naive"	"V986"	-0.0368	0.00013086	151
"115"	"B.cells.naive"	"V1002"	-0.273	6.16e-184	1
"116"	"B.cells.naive"	"V1032"	0.0807	4.11e-17	2
"117"	"B.cells.naive"	"V1043"	-0.101	8.39e-26	3
"118"	"B.cells.naive"	"V1061"	-0.343	6.64e-296	4
"119"	"B.cells.naive"	"V1064"	-0.0957	1.99e-23	5
"120"	"B.cells.naive"	"V1069"	-0.0705	2.05e-13	6
"121"	"B.cells.naive"	"V1108"	0.413	0	7
"122"	"B.cells.naive"	"V1112"	-0.0701	2.79e-13	8
"123"	"B.cells.naive"	"V1116"	-0.089	1.85e-20	9
"124"	"B.cells.naive"	"V1117"	0.0859	3.56e-19	10
"125"	"B.cells.naive"	"V1119"	0.00469	0.625749734	11
"126"	"B.cells.naive"	"V1132"	-0.165	3.45e-67	12
"127"	"B.cells.naive"	"V1145"	-0.0751	5.09e-15	13
"128"	"B.cells.naive"	"V1155"	0.0696	4.13e-13	14
"129"	"B.cells.naive"	"V1164"	0.0168	0.080600205	16
"130"	"B.cells.naive"	"V1170"	-0.0244	0.011143502	17
"131"	"B.cells.naive"	"V1185"	0.137	2.43e-46	18
"132"	"B.cells.naive"	"V1194"	0.00192	0.842113607	19
"133"	"B.cells.naive"	"V1195"	-0.0368	0.000126414	20
"134"	"B.cells.naive"	"V1198"	-0.0091	0.343894946	21
"135"	"B.cells.naive"	"V1204"	-0.0505	1.5e-07	23
"136"	"B.cells.naive"	"V1205"	0.0671	2.83e-12	24
"137"	"B.cells.naive"	"V1209"	-0.0616	1.44e-10	25
"138"	"B.cells.naive"	"V1224"	-0.206	6.3e-104	26
"139"	"B.cells.naive"	"V1225"	0.0707	1.81e-13	27
"140"	"B.cells.naive"	"V1226"	0.157	1.58e-60	28
"141"	"B.cells.naive"	"V1233"	-0.17	8.1e-71	29
"142"	"B.cells.naive"	"V1246"	-0.159	1.83e-62	30
"143"	"B.cells.naive"	"V1254"	0.0115	0.233316147	31
"144"	"B.cells.naive"	"V1275"	0.235	2.78e-135	32
"145"	"B.cells.naive"	"V1303"	-0.0103	0.284487527	33
"146"	"B.cells.naive"	"V1313"	-0.00403	0.67497359	35
"147"	"B.cells.naive"	"V1326"	-0.00586	0.542155472	36
"148"	"B.cells.naive"	"V1359"	0.053	3.46e-08	37
"149"	"B.cells.naive"	"V1366"	0.0127	0.18551063	38
"150"	"B.cells.naive"	"V1373"	-0.0529	3.79e-08	39
"151"	"B.cells.naive"	"V1378"	-0.0188	0.050416817	40
"152"	"B.cells.memory"	"V2"	-0.0511	1.04e-07	47
"153"	"B.cells.memory"	"V8"	-0.0524	4.9e-08	127
"154"	"B.cells.memory"	"V12"	-0.073	2.83e-14	22
"155"	"B.cells.memory"	"V28"	-0.0168	0.080073663	57
"156"	"B.cells.memory"	"V36"	-0.021	0.028774442	66
"157"	"B.cells.memory"	"V46"	0.00402	0.675836335	79
"158"	"B.cells.memory"	"V55"	0.00629	0.513100844	96
"159"	"B.cells.memory"	"V63"	0.0522	5.72e-08	103
"160"	"B.cells.memory"	"V67"	0.0263	0.006182861	111
"161"	"B.cells.memory"	"V82"	-0.0453	2.38e-06	130
"162"	"B.cells.memory"	"V116"	-0.0244	0.011267735	15
"163"	"B.cells.memory"	"V131"	-0.177	5.53e-77	34
"164"	"B.cells.memory"	"V139"	0.0521	5.82e-08	41
"165"	"B.cells.memory"	"V143"	0.0766	1.47e-15	42
"166"	"B.cells.memory"	"V146"	0.127	6.66e-40	43
"167"	"B.cells.memory"	"V148"	0.0284	0.003087775	44
"168"	"B.cells.memory"	"V163"	0.0168	0.079804211	45
"169"	"B.cells.memory"	"V169"	-0.0461	1.58e-06	46
"170"	"B.cells.memory"	"V207"	-0.0128	0.183610772	48
"171"	"B.cells.memory"	"V215"	0.0821	1.25e-17	49
"172"	"B.cells.memory"	"V220"	-0.0633	4.42e-11	50
"173"	"B.cells.memory"	"V240"	0.0227	0.018017043	51
"174"	"B.cells.memory"	"V252"	-0.0305	0.001533204	52
"175"	"B.cells.memory"	"V253"	0.0307	0.001401846	53
"176"	"B.cells.memory"	"V257"	-0.00413	0.667322562	54
"177"	"B.cells.memory"	"V269"	0.0296	0.002054892	55
"178"	"B.cells.memory"	"V271"	0.048	5.87e-07	56
"179"	"B.cells.memory"	"V286"	-0.0146	0.13010771	58
"180"	"B.cells.memory"	"V291"	0.059	8.17e-10	59
"181"	"B.cells.memory"	"V295"	0.0626	7.05e-11	60
"182"	"B.cells.memory"	"V305"	0.039	4.98e-05	61
"183"	"B.cells.memory"	"V336"	-0.0817	1.79e-17	62
"184"	"B.cells.memory"	"V342"	-0.0729	3.12e-14	63
"185"	"B.cells.memory"	"V352"	-0.0617	1.3e-10	64
"186"	"B.cells.memory"	"V357"	0.0296	0.002100453	65
"187"	"B.cells.memory"	"V360"	-0.151	1.87e-56	67
"188"	"B.cells.memory"	"V366"	0.0339	0.000425762	68
"189"	"B.cells.memory"	"V373"	-0.00337	0.726131298	69
"190"	"B.cells.memory"	"V394"	0.0515	8.2e-08	70
"191"	"B.cells.memory"	"V405"	-0.0432	7.07e-06	71
"192"	"B.cells.memory"	"V413"	-0.0112	0.24578785	72
"193"	"B.cells.memory"	"V425"	-0.00194	0.839944126	73
"194"	"B.cells.memory"	"V426"	-0.0302	0.001660884	74
"195"	"B.cells.memory"	"V442"	0.0453	2.45e-06	75
"196"	"B.cells.memory"	"V451"	-0.0081	0.399311232	76
"197"	"B.cells.memory"	"V455"	0.0526	4.31e-08	77
"198"	"B.cells.memory"	"V458"	0.0582	1.37e-09	78
"199"	"B.cells.memory"	"V464"	0.123	7.64e-38	80
"200"	"B.cells.memory"	"V466"	0.101	4.23e-26	81
"201"	"B.cells.memory"	"V467"	0.0899	7.38e-21	82
"202"	"B.cells.memory"	"V479"	0.00341	0.722954774	83
"203"	"B.cells.memory"	"V482"	-0.0566	3.96e-09	84
"204"	"B.cells.memory"	"V485"	0.0306	0.00143658	85
"205"	"B.cells.memory"	"V486"	0.0585	1.16e-09	86
"206"	"B.cells.memory"	"V487"	-0.0191	0.046757673	87
"207"	"B.cells.memory"	"V494"	-0.0076	0.429351725	88
"208"	"B.cells.memory"	"V511"	0.0371	0.000115487	89
"209"	"B.cells.memory"	"V516"	0.0109	0.2583939	90
"210"	"B.cells.memory"	"V518"	-0.0477	6.76e-07	91
"211"	"B.cells.memory"	"V521"	0.00619	0.519555486	92
"212"	"B.cells.memory"	"V522"	-0.00227	0.813107741	93
"213"	"B.cells.memory"	"V523"	-0.0647	1.58e-11	94
"214"	"B.cells.memory"	"V540"	0.0248	0.009952133	95
"215"	"B.cells.memory"	"V564"	-0.0103	0.284141542	97
"216"	"B.cells.memory"	"V567"	0.0604	3.27e-10	98
"217"	"B.cells.memory"	"V579"	-0.0103	0.281826209	99
"218"	"B.cells.memory"	"V593"	0.0474	8.19e-07	100
"219"	"B.cells.memory"	"V601"	-0.0412	1.78e-05	101
"220"	"B.cells.memory"	"V609"	-0.0412	1.85e-05	102
"221"	"B.cells.memory"	"V630"	-0.0306	0.001448927	104
"222"	"B.cells.memory"	"V647"	0.0938	1.49e-22	105
"223"	"B.cells.memory"	"V649"	-0.0111	0.248499046	106
"224"	"B.cells.memory"	"V659"	0.00657	0.494535359	107
"225"	"B.cells.memory"	"V661"	0.0383	6.74e-05	108
"226"	"B.cells.memory"	"V668"	-0.0289	0.002646505	109
"227"	"B.cells.memory"	"V669"	-0.0194	0.043739294	110
"228"	"B.cells.memory"	"V670"	-0.00157	0.87053525	112
"229"	"B.cells.memory"	"V671"	-0.0241	0.012321517	113
"230"	"B.cells.memory"	"V680"	0.0474	8.05e-07	114
"231"	"B.cells.memory"	"V712"	0.0408	2.21e-05	115
"232"	"B.cells.memory"	"V736"	0.0458	1.88e-06	116
"233"	"B.cells.memory"	"V738"	0.137	1.25e-46	117
"234"	"B.cells.memory"	"V747"	0.0707	1.82e-13	118
"235"	"B.cells.memory"	"V754"	0.0516	7.98e-08	119
"236"	"B.cells.memory"	"V756"	-0.0183	0.057510809	120
"237"	"B.cells.memory"	"V758"	-0.081	3.38e-17	121
"238"	"B.cells.memory"	"V773"	0.000717	0.94054661	122
"239"	"B.cells.memory"	"V777"	0.0176	0.06651613	123
"240"	"B.cells.memory"	"V786"	-0.0107	0.26519828	124
"241"	"B.cells.memory"	"V788"	0.0117	0.221870811	125
"242"	"B.cells.memory"	"V789"	0.0484	4.63e-07	126
"243"	"B.cells.memory"	"V804"	0.0475	7.71e-07	128
"244"	"B.cells.memory"	"V814"	-0.0268	0.005257121	129
"245"	"B.cells.memory"	"V825"	0.0117	0.22395694	131
"246"	"B.cells.memory"	"V833"	0.0347	0.000307626	132
"247"	"B.cells.memory"	"V839"	0.0284	0.003150647	133
"248"	"B.cells.memory"	"V840"	0.0266	0.00575078	134
"249"	"B.cells.memory"	"V843"	-0.06	4.13e-10	135
"250"	"B.cells.memory"	"V856"	-0.000501	0.958489965	136
"251"	"B.cells.memory"	"V870"	0.0144	0.134002783	137
"252"	"B.cells.memory"	"V881"	-0.0109	0.257662923	138
"253"	"B.cells.memory"	"V882"	0.0127	0.185127611	139
"254"	"B.cells.memory"	"V887"	0.0179	0.063165387	140
"255"	"B.cells.memory"	"V888"	-0.0525	4.55e-08	141
"256"	"B.cells.memory"	"V895"	-0.0608	2.49e-10	142
"257"	"B.cells.memory"	"V896"	-0.0624	8.19e-11	143
"258"	"B.cells.memory"	"V898"	0.00267	0.781167652	144
"259"	"B.cells.memory"	"V923"	0.046	1.73e-06	145
"260"	"B.cells.memory"	"V926"	-0.00148	0.877417561	146
"261"	"B.cells.memory"	"V946"	0.027	0.005010812	147
"262"	"B.cells.memory"	"V949"	0.0264	0.005989863	148
"263"	"B.cells.memory"	"V960"	-0.0209	0.029456668	149
"264"	"B.cells.memory"	"V964"	0.0616	1.46e-10	150
"265"	"B.cells.memory"	"V986"	-0.0307	0.001419363	151
"266"	"B.cells.memory"	"V1002"	-0.124	4.89e-38	1
"267"	"B.cells.memory"	"V1032"	0.0105	0.275615663	2
"268"	"B.cells.memory"	"V1043"	-0.0867	1.65e-19	3
"269"	"B.cells.memory"	"V1061"	-0.0718	7.56e-14	4
"270"	"B.cells.memory"	"V1064"	0.0675	2.09e-12	5
"271"	"B.cells.memory"	"V1069"	-0.0263	0.006214961	6
"272"	"B.cells.memory"	"V1108"	0.0795	1.25e-16	7
"273"	"B.cells.memory"	"V1112"	0.0349	0.000286152	8
"274"	"B.cells.memory"	"V1116"	-0.0346	0.000316092	9
"275"	"B.cells.memory"	"V1117"	0.0549	1.09e-08	10
"276"	"B.cells.memory"	"V1119"	0.0449	2.98e-06	11
"277"	"B.cells.memory"	"V1132"	0.026	0.0068884	12
"278"	"B.cells.memory"	"V1145"	0.0128	0.183426573	13
"279"	"B.cells.memory"	"V1155"	0.0345	0.000335678	14
"280"	"B.cells.memory"	"V1164"	0.0709	1.56e-13	16
"281"	"B.cells.memory"	"V1170"	-0.0831	4.87e-18	17
"282"	"B.cells.memory"	"V1185"	0.0769	1.13e-15	18
"283"	"B.cells.memory"	"V1194"	-0.0606	2.74e-10	19
"284"	"B.cells.memory"	"V1195"	-0.0627	6.77e-11	20
"285"	"B.cells.memory"	"V1198"	0.078	4.59e-16	21
"286"	"B.cells.memory"	"V1204"	0.0302	0.00171097	23
"287"	"B.cells.memory"	"V1205"	0.0513	9.6e-08	24
"288"	"B.cells.memory"	"V1209"	0.0124	0.198772387	25
"289"	"B.cells.memory"	"V1224"	-0.0537	2.35e-08	26
"290"	"B.cells.memory"	"V1225"	-0.0292	0.002347015	27
"291"	"B.cells.memory"	"V1226"	-0.0482	5.29e-07	28
"292"	"B.cells.memory"	"V1233"	-0.0604	3.14e-10	29
"293"	"B.cells.memory"	"V1246"	0.0125	0.194822863	30
"294"	"B.cells.memory"	"V1254"	-0.00656	0.494974651	31
"295"	"B.cells.memory"	"V1275"	0.0426	9.27e-06	32
"296"	"B.cells.memory"	"V1303"	0.0346	0.000317465	33
"297"	"B.cells.memory"	"V1313"	0.0346	0.000322602	35
"298"	"B.cells.memory"	"V1326"	0.0604	3.14e-10	36
"299"	"B.cells.memory"	"V1359"	0.0652	1.12e-11	37
"300"	"B.cells.memory"	"V1366"	-0.0133	0.167624809	38
"301"	"B.cells.memory"	"V1373"	-0.00872	0.364586354	39
"302"	"B.cells.memory"	"V1378"	-0.0169	0.078351893	40
"303"	"Plasma.cells"	"V2"	-0.0308	0.00135069	47
"304"	"Plasma.cells"	"V8"	0.0807	4.37e-17	127
"305"	"Plasma.cells"	"V12"	0.02	0.037797443	22
"306"	"Plasma.cells"	"V28"	-0.0291	0.00244671	57
"307"	"Plasma.cells"	"V36"	-0.0118	0.221018882	66
"308"	"Plasma.cells"	"V46"	0.0215	0.025049009	79
"309"	"Plasma.cells"	"V55"	-0.039	5.03e-05	96
"310"	"Plasma.cells"	"V63"	-0.0124	0.195627871	103
"311"	"Plasma.cells"	"V67"	-0.0175	0.06804525	111
"312"	"Plasma.cells"	"V82"	0.056	5.44e-09	130
"313"	"Plasma.cells"	"V116"	0.0221	0.021474166	15
"314"	"Plasma.cells"	"V131"	0.0221	0.021787683	34
"315"	"Plasma.cells"	"V139"	-0.0358	0.000196266	41
"316"	"Plasma.cells"	"V143"	-0.00283	0.768441641	42
"317"	"Plasma.cells"	"V146"	0.00738	0.442506525	43
"318"	"Plasma.cells"	"V148"	0.0858	3.96e-19	44
"319"	"Plasma.cells"	"V163"	-0.0729	3.2e-14	45
"320"	"Plasma.cells"	"V169"	-0.000669	0.944547009	46
"321"	"Plasma.cells"	"V207"	-0.0107	0.26675861	48
"322"	"Plasma.cells"	"V215"	-0.00902	0.348078169	49
"323"	"Plasma.cells"	"V220"	0.0992	4.66e-25	50
"324"	"Plasma.cells"	"V240"	-0.0497	2.33e-07	51
"325"	"Plasma.cells"	"V252"	-0.0631	5.22e-11	52
"326"	"Plasma.cells"	"V253"	0.0357	0.000206452	53
"327"	"Plasma.cells"	"V257"	0.0313	0.001112247	54
"328"	"Plasma.cells"	"V269"	-0.0315	0.001050121	55
"329"	"Plasma.cells"	"V271"	0.00102	0.915112253	56
"330"	"Plasma.cells"	"V286"	0.0861	2.84e-19	58
"331"	"Plasma.cells"	"V291"	-0.0981	1.59e-24	59
"332"	"Plasma.cells"	"V295"	0.034	0.000399638	60
"333"	"Plasma.cells"	"V305"	-0.0941	1.06e-22	61
"334"	"Plasma.cells"	"V336"	0.106	1.95e-28	62
"335"	"Plasma.cells"	"V342"	0.0555	7.82e-09	63
"336"	"Plasma.cells"	"V352"	0.0548	1.19e-08	64
"337"	"Plasma.cells"	"V357"	0.00624	0.516722394	65
"338"	"Plasma.cells"	"V360"	0.0468	1.14e-06	67
"339"	"Plasma.cells"	"V366"	0.00403	0.675071405	68
"340"	"Plasma.cells"	"V373"	-0.0599	4.63e-10	69
"341"	"Plasma.cells"	"V394"	-0.0769	1.2e-15	70
"342"	"Plasma.cells"	"V405"	0.0597	5.25e-10	71
"343"	"Plasma.cells"	"V413"	-0.0405	2.54e-05	72
"344"	"Plasma.cells"	"V425"	-0.00979	0.308497051	73
"345"	"Plasma.cells"	"V426"	-0.0383	6.77e-05	74
"346"	"Plasma.cells"	"V442"	-0.0114	0.235226497	75
"347"	"Plasma.cells"	"V451"	0.0423	1.09e-05	76
"348"	"Plasma.cells"	"V455"	0.00993	0.301596956	77
"349"	"Plasma.cells"	"V458"	0.0341	0.000397109	78
"350"	"Plasma.cells"	"V464"	-0.0851	7.69e-19	80
"351"	"Plasma.cells"	"V466"	-0.117	2.65e-34	81
"352"	"Plasma.cells"	"V467"	-0.0348	0.000292379	82
"353"	"Plasma.cells"	"V479"	0.0168	0.07984656	83
"354"	"Plasma.cells"	"V482"	0.018	0.061351855	84
"355"	"Plasma.cells"	"V485"	-0.0489	3.67e-07	85
"356"	"Plasma.cells"	"V486"	-0.108	3.04e-29	86
"357"	"Plasma.cells"	"V487"	-0.0225	0.019354082	87
"358"	"Plasma.cells"	"V494"	0.00173	0.857268327	88
"359"	"Plasma.cells"	"V511"	-0.0288	0.002730035	89
"360"	"Plasma.cells"	"V516"	-0.0508	1.23e-07	90
"361"	"Plasma.cells"	"V518"	-0.0152	0.113061232	91
"362"	"Plasma.cells"	"V521"	0.0322	0.000820365	92
"363"	"Plasma.cells"	"V522"	0.0929	3.77e-22	93
"364"	"Plasma.cells"	"V523"	0.0558	6.33e-09	94
"365"	"Plasma.cells"	"V540"	-0.0366	0.000140477	95
"366"	"Plasma.cells"	"V564"	-0.0149	0.121788238	97
"367"	"Plasma.cells"	"V567"	-0.0712	1.27e-13	98
"368"	"Plasma.cells"	"V579"	-0.0617	1.33e-10	99
"369"	"Plasma.cells"	"V593"	-0.0261	0.006597146	100
"370"	"Plasma.cells"	"V601"	0.0159	0.098000427	101
"371"	"Plasma.cells"	"V609"	-0.0178	0.064078601	102
"372"	"Plasma.cells"	"V630"	-0.00892	0.353465728	104
"373"	"Plasma.cells"	"V647"	-0.128	7.51e-41	105
"374"	"Plasma.cells"	"V649"	-0.00348	0.717751289	106
"375"	"Plasma.cells"	"V659"	0.0513	9.19e-08	107
"376"	"Plasma.cells"	"V661"	0.0677	1.86e-12	108
"377"	"Plasma.cells"	"V668"	0.0195	0.042152464	109
"378"	"Plasma.cells"	"V669"	0.0156	0.105228013	110
"379"	"Plasma.cells"	"V670"	0.0294	0.00221329	112
"380"	"Plasma.cells"	"V671"	0.0481	5.62e-07	113
"381"	"Plasma.cells"	"V680"	-0.00332	0.730138283	114
"382"	"Plasma.cells"	"V712"	0.00273	0.77655014	115
"383"	"Plasma.cells"	"V736"	-0.0806	4.51e-17	116
"384"	"Plasma.cells"	"V738"	-0.043	7.87e-06	117
"385"	"Plasma.cells"	"V747"	-0.0731	2.75e-14	118
"386"	"Plasma.cells"	"V754"	0.0458	1.87e-06	119
"387"	"Plasma.cells"	"V756"	0.0833	4.09e-18	120
"388"	"Plasma.cells"	"V758"	0.108	1.58e-29	121
"389"	"Plasma.cells"	"V773"	-0.0612	1.94e-10	122
"390"	"Plasma.cells"	"V777"	0.0231	0.016057411	123
"391"	"Plasma.cells"	"V786"	0.0371	0.000111944	124
"392"	"Plasma.cells"	"V788"	-0.0506	1.38e-07	125
"393"	"Plasma.cells"	"V789"	-0.0493	2.93e-07	126
"394"	"Plasma.cells"	"V804"	-0.0587	1e-09	128
"395"	"Plasma.cells"	"V814"	0.0204	0.034169193	129
"396"	"Plasma.cells"	"V825"	0.0189	0.04905561	131
"397"	"Plasma.cells"	"V833"	-0.0869	1.38e-19	132
"398"	"Plasma.cells"	"V839"	-0.0452	2.58e-06	133
"399"	"Plasma.cells"	"V840"	0.0373	0.000106384	134
"400"	"Plasma.cells"	"V843"	0.0111	0.247626315	135
"401"	"Plasma.cells"	"V856"	-0.00145	0.880181718	136
"402"	"Plasma.cells"	"V870"	-0.0226	0.018511408	137
"403"	"Plasma.cells"	"V881"	-0.0292	0.002412829	138
"404"	"Plasma.cells"	"V882"	-0.00617	0.521301664	139
"405"	"Plasma.cells"	"V887"	0.0613	1.75e-10	140
"406"	"Plasma.cells"	"V888"	0.0138	0.151684242	141
"407"	"Plasma.cells"	"V895"	-0.0495	2.67e-07	142
"408"	"Plasma.cells"	"V896"	0.12	2.86e-36	143
"409"	"Plasma.cells"	"V898"	0.0716	9.04e-14	144
"410"	"Plasma.cells"	"V923"	0.0162	0.091800595	145
"411"	"Plasma.cells"	"V926"	-0.0448	3.1e-06	146
"412"	"Plasma.cells"	"V946"	-0.016	0.096625809	147
"413"	"Plasma.cells"	"V949"	0.0335	0.0004914	148
"414"	"Plasma.cells"	"V960"	0.0634	4.01e-11	149
"415"	"Plasma.cells"	"V964"	-0.0259	0.007031943	150
"416"	"Plasma.cells"	"V986"	0.0285	0.003019789	151
"417"	"Plasma.cells"	"V1002"	0.0157	0.10156407	1
"418"	"Plasma.cells"	"V1032"	0.0217	0.02406106	2
"419"	"Plasma.cells"	"V1043"	-0.00591	0.538969423	3
"420"	"Plasma.cells"	"V1061"	-0.0434	6.39e-06	4
"421"	"Plasma.cells"	"V1064"	-0.128	8.37e-41	5
