"DRUG_NAME"	"TC"	"Correlation"	"PValue"	"Compound..code.or.generic.name."	"Compound..brand.name."	"Target.s."	"Mechanism.of.action"	"Class"	"Highest.Phase"	"Organization"	"mTC"
"17"	7	"V177"	-0.338110216	4.08e-14	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	28
"18"	23	"V381"	0.335646794	2.91e-14	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	91
"19"	6	"V414"	0.326553147	6.05e-09	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	103
"20"	6	"V341"	-0.326113811	6.35e-09	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	78
"21"	15	"V9"	0.323278067	1.4e-11	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	131
"22"	15	"V9"	0.323278067	1.4e-11	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	132
"23"	23	"V207"	-0.319556488	5.4e-13	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	39
"24"	7	"V396"	-0.319376306	1.13e-12	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	97
"25"	23	"V393"	0.316405986	9.33e-13	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	96
"26"	15	"V414"	0.314094067	5.49e-11	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	103
"27"	15	"V381"	0.313644886	5.86e-11	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	91
"28"	6	"V90"	0.311088007	3.23e-08	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	133
"29"	15	"V161"	-0.304393932	2.21e-10	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	17
"30"	15	"V396"	-0.304162529	2.28e-10	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	97
"31"	15	"V280"	0.301002762	3.55e-10	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	61
"32"	7	"V414"	0.299944537	2.7e-11	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	103
"33"	13	"V241"	0.295383783	3.63e-11	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	48
"34"	13	"V405"	-0.292941411	5.32e-11	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	99
"35"	13	"V381"	0.288724194	1.02e-10	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	91
"36"	7	"V393"	0.2869363	1.99e-10	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	96
"37"	13	"V393"	0.286854285	1.36e-10	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	96
"38"	20	"V396"	-0.286771234	1.21e-10	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	97
"39"	13	"V462"	-0.285565567	1.65e-10	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	118
"40"	13	"V142"	0.283236129	2.35e-10	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	11
"41"	6	"V418"	0.281787332	6.05e-07	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	105
"42"	8	"V350"	-0.281307745	2.65e-10	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	82
"43"	6	"V161"	-0.280529633	6.81e-07	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	17
"44"	6	"V329"	-0.279274027	7.67e-07	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	75
"45"	15	"V393"	0.278628787	7.02e-09	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	96
"46"	23	"V414"	0.277980339	4.35e-10	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	103
"47"	16	"V177"	-0.277458538	4.7e-10	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	28
"48"	13	"V448"	-0.276414255	6.45e-10	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	113
"49"	7	"V381"	0.274099642	1.29e-09	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	91
"50"	6	"V102"	0.273845774	1.27e-06	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	3
"51"	16	"V414"	0.270072671	1.38e-09	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	103
"52"	13	"V9"	0.267052139	2.47e-09	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	131
"53"	13	"V9"	0.267052139	2.47e-09	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	132
"54"	3	"V12"	0.266888518	2.17e-09	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	8
"55"	6	"V95"	-0.266369937	2.5e-06	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	136
"56"	13	"V211"	-0.266197808	2.78e-09	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	42
"57"	13	"V418"	0.265717395	2.98e-09	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	105
"58"	13	"V265"	-0.263943694	3.81e-09	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	53
"59"	6	"V170"	0.263530794	3.21e-06	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	22
"60"	23	"V460"	-0.261527805	4.61e-09	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	116
"61"	5	"V12"	0.260449158	5.55e-09	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	8
"62"	6	"V207"	-0.260368326	4.24e-06	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	39
"63"	1	"V177"	0.259800514	6.07e-09	"17-AAG"	"Tanespimycin"	"HSP90"	"Heat Shock Protein 90 (hsp90) Inhibitor"	"Other targeted therapies"	"Phase III"	"Bristol-Myers Squibb"	28
"64"	20	"V177"	-0.258094458	7.66e-09	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	28
"65"	15	"V177"	-0.256395299	1.06e-07	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	28
"66"	6	"V462"	-0.25559468	6.4e-06	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	118
"67"	7	"V91"	-0.255304448	1.69e-08	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	134
"68"	13	"V207"	-0.25496329	1.3e-08	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	39
"69"	16	"V207"	-0.254817138	1.15e-08	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	39
"70"	12	"V414"	0.253386963	1.45e-08	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	103
"71"	11	"V11"	0.252647739	1.55e-08	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	4
"72"	6	"V32"	0.252019261	8.67e-06	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	72
"73"	23	"V341"	-0.251426111	1.82e-08	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	78
"74"	20	"V414"	0.251020017	1.99e-08	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	103
"75"	15	"V21"	-0.250698555	2.05e-07	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	41
"76"	23	"V346"	-0.249845891	2.24e-08	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	80
"77"	6	"V2"	0.249471613	1.07e-05	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	37
"78"	7	"V207"	-0.247441228	4.69e-08	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	39
"79"	15	"V207"	-0.247074571	3.1e-07	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	39
"80"	20	"V462"	-0.245879565	3.9e-08	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	118
"81"	23	"V329"	-0.245684038	3.87e-08	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	75
"82"	21	"V207"	-0.245658861	3.88e-08	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	39
"83"	6	"V383"	0.245192168	1.53e-05	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	93
"84"	15	"V418"	0.244612772	4.08e-07	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	105
"85"	13	"V150"	0.244156197	5.35e-08	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	12
"86"	16	"V381"	0.243930316	4.86e-08	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	91
"87"	13	"V164"	0.243637967	5.72e-08	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	19
"88"	7	"V266"	-0.243400299	7.81e-08	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	54
"89"	22	"V12"	-0.242416858	5.9e-08	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	8
"90"	16	"V346"	-0.242278426	6.01e-08	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	80
"91"	22	"V396"	-0.241825056	6.36e-08	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	97
"92"	1	"V460"	0.24125437	7.06e-08	"17-AAG"	"Tanespimycin"	"HSP90"	"Heat Shock Protein 90 (hsp90) Inhibitor"	"Other targeted therapies"	"Phase III"	"Bristol-Myers Squibb"	116
"93"	16	"V161"	-0.240967767	7.1e-08	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	17
"94"	6	"V358"	-0.240235918	2.28e-05	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	85
"95"	14	"V396"	0.239609378	8.44e-08	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	97
"96"	15	"V405"	-0.23953459	7.14e-07	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	99
"97"	6	"V320"	-0.238704314	2.58e-05	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	73
"98"	7	"V142"	0.238606323	1.42e-07	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	11
"99"	12	"V346"	-0.238512451	9.99e-08	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	80
"100"	23	"V90"	0.237695336	1.07e-07	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	133
"101"	23	"V462"	-0.23742492	1.11e-07	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	118
"102"	7	"V161"	-0.237281888	1.67e-07	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	17
"103"	20	"V207"	-0.235277948	1.5e-07	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	39
"104"	23	"V383"	0.234779307	1.54e-07	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	93
"105"	23	"V102"	0.234459207	1.61e-07	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	3
"106"	12	"V341"	-0.234342733	1.68e-07	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	78
"107"	15	"V176"	0.234219603	1.27e-06	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	27
"108"	23	"V161"	-0.23401485	1.7e-07	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	17
"109"	13	"V72"	-0.232509422	2.29e-07	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	125
"110"	15	"V154"	-0.232486077	1.52e-06	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	13
"111"	15	"V344"	-0.232085056	1.59e-06	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	79
"112"	8	"V150"	0.23062007	2.57e-07	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	12
"113"	14	"V455"	0.229585913	2.92e-07	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	114
"114"	12	"V396"	-0.229582467	3e-07	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	97
"115"	13	"V266"	-0.229506534	3.29e-07	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	54
"116"	13	"V459"	0.229266224	3.39e-07	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	115
"117"	13	"V95"	-0.229199212	3.42e-07	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	136
"118"	13	"V412"	0.229178121	3.43e-07	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	101
"119"	7	"V341"	-0.228504366	4.76e-07	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	78
"120"	17	"V414"	0.228098275	3.59e-07	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	103
"121"	6	"V281"	0.227598612	6.13e-05	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	62
"122"	15	"V448"	-0.22625088	2.91e-06	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	113
"123"	23	"V275"	-0.225713196	4.65e-07	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	59
"124"	7	"V10"	0.224980368	7.18e-07	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	1
"125"	15	"V266"	-0.224644684	3.43e-06	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	54
"126"	23	"V320"	-0.223930798	5.74e-07	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	73
"127"	7	"V448"	-0.223917569	8.12e-07	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	113
"128"	16	"V90"	0.223445968	6.08e-07	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	133
"129"	15	"V32"	0.223440918	3.88e-06	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	72
"130"	6	"V72"	-0.223205668	8.54e-05	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	125
"131"	18	"V320"	0.222852318	8.05e-07	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	73
"132"	4	"V332"	-0.222574929	6.92e-07	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	77
"133"	17	"V448"	-0.220757979	8.55e-07	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	113
"134"	12	"V393"	0.220708423	8.6e-07	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	96
"135"	21	"V258"	0.220563536	8.52e-07	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	50
