"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"
"171"	"B.cells.memory"	"V256"	-0.0915	6.58e-39
"172"	"B.cells.memory"	"V260"	0.0133	0.057970217
"173"	"B.cells.memory"	"V261"	0.0471	2.03e-11
"174"	"B.cells.memory"	"V268"	0.24	5.36e-264
"175"	"B.cells.memory"	"V270"	-0.412	0
"176"	"B.cells.memory"	"V281"	0.379	0
"177"	"B.cells.memory"	"V284"	-0.0883	2.34e-36
"178"	"B.cells.memory"	"V286"	-0.0789	2.43e-29
"179"	"B.cells.memory"	"V287"	-0.158	7.71e-113
"180"	"B.cells.memory"	"V294"	0.282	0
"181"	"B.cells.memory"	"V308"	0.0538	1.71e-14
"182"	"B.cells.memory"	"V327"	-0.142	1.61e-91
"183"	"B.cells.memory"	"V337"	-0.0398	1.4e-08
"184"	"B.cells.memory"	"V362"	0.0846	1.75e-33
"185"	"B.cells.memory"	"V370"	-0.0623	7.08e-19
"186"	"B.cells.memory"	"V375"	-0.0149	0.034204327
"187"	"B.cells.memory"	"V385"	0.215	3.46e-211
"188"	"B.cells.memory"	"V386"	-0.0411	4.78e-09
"189"	"B.cells.memory"	"V392"	0.0421	2.1e-09
"190"	"B.cells.memory"	"V393"	0.256	1.28e-299
"191"	"B.cells.memory"	"V400"	0.188	2.94e-161
"192"	"B.cells.memory"	"V403"	0.217	4.58e-215
"193"	"B.cells.memory"	"V405"	-0.142	3.68e-92
"194"	"B.cells.memory"	"V423"	0.248	1.75e-282
"195"	"B.cells.memory"	"V431"	0.125	1.49e-71
"196"	"B.cells.memory"	"V435"	-0.0257	0.000246602
"197"	"B.cells.memory"	"V451"	-0.337	0
"198"	"B.cells.memory"	"V452"	-0.0439	4.2e-10
"199"	"B.cells.memory"	"V455"	-0.376	0
"200"	"B.cells.memory"	"V458"	-0.248	1.11e-280
"201"	"B.cells.memory"	"V461"	0.0832	1.92e-32
"202"	"B.cells.memory"	"V464"	0.354	0
"203"	"B.cells.memory"	"V469"	0.278	0
"204"	"B.cells.memory"	"V473"	-0.116	1.09e-61
"205"	"B.cells.memory"	"V479"	-0.0256	0.000269673
"206"	"B.cells.memory"	"V484"	0.174	1.03e-137
"207"	"B.cells.memory"	"V493"	0.229	1.5e-238
"208"	"B.cells.memory"	"V504"	0.239	4.17e-261
"209"	"B.cells.memory"	"V519"	0.298	0
"210"	"B.cells.memory"	"V527"	0.255	1.94e-299
"211"	"B.cells.memory"	"V528"	-0.207	1.32e-194
"212"	"B.cells.memory"	"V533"	-0.0227	0.001213026
"213"	"B.cells.memory"	"V537"	0.0534	2.95e-14
"214"	"B.cells.memory"	"V562"	-0.156	1.46e-110
"215"	"B.cells.memory"	"V570"	0.0539	1.63e-14
"216"	"B.cells.memory"	"V576"	0.054	1.41e-14
"217"	"B.cells.memory"	"V590"	0.0926	7.95e-40
"218"	"B.cells.memory"	"V592"	-0.156	1.3e-110
"219"	"B.cells.memory"	"V611"	0.432	0
"220"	"B.cells.memory"	"V625"	0.0936	1.15e-40
"221"	"B.cells.memory"	"V626"	-0.0786	3.96e-29
"222"	"B.cells.memory"	"V628"	0.162	2.8e-119
"223"	"B.cells.memory"	"V632"	-0.229	1.41e-239
"224"	"B.cells.memory"	"V645"	0.145	7.79e-96
"225"	"B.cells.memory"	"V648"	-0.154	2.76e-108
"226"	"B.cells.memory"	"V657"	-0.128	4.93e-75
"227"	"B.cells.memory"	"V658"	-0.343	0
"228"	"B.cells.memory"	"V662"	0.114	1.48e-59
"229"	"B.cells.memory"	"V663"	-0.0895	2.73e-37
"230"	"B.cells.memory"	"V675"	0.324	0
"231"	"B.cells.memory"	"V677"	-0.0478	1.02e-11
"232"	"B.cells.memory"	"V678"	0.00187	0.79005746
"233"	"B.cells.memory"	"V681"	0.0306	1.3e-05
"234"	"B.cells.memory"	"V684"	-0.194	4.38e-171
"235"	"B.cells.memory"	"V689"	0.0208	0.003073728
"236"	"B.cells.memory"	"V702"	-0.0136	0.053352364
"237"	"B.cells.memory"	"V703"	0.0478	1.02e-11
"238"	"B.cells.memory"	"V710"	-0.0131	0.062656335
"239"	"B.cells.memory"	"V719"	0.372	0
"240"	"B.cells.memory"	"V723"	0.202	8.48e-186
"241"	"B.cells.memory"	"V731"	0.24	7.89e-264
"242"	"B.cells.memory"	"V743"	0.427	0
"243"	"B.cells.memory"	"V746"	0.0463	4.28e-11
"244"	"B.cells.memory"	"V750"	-0.301	0
"245"	"B.cells.memory"	"V759"	-0.374	0
"246"	"B.cells.memory"	"V772"	-0.317	0
"247"	"B.cells.memory"	"V774"	0.184	2.82e-153
"248"	"B.cells.memory"	"V790"	0.254	6.35e-297
"249"	"B.cells.memory"	"V792"	0.133	3.67e-80
"250"	"B.cells.memory"	"V794"	0.349	0
"251"	"B.cells.memory"	"V802"	0.227	8.1e-236
"252"	"B.cells.memory"	"V804"	0.334	0
"253"	"B.cells.memory"	"V810"	0.0454	1.05e-10
"254"	"B.cells.memory"	"V814"	-0.0982	1.19e-44
"255"	"B.cells.memory"	"V817"	-0.0106	0.129814114
"256"	"B.cells.memory"	"V820"	0.0621	8.69e-19
"257"	"B.cells.memory"	"V821"	0.399	0
"258"	"B.cells.memory"	"V822"	0.122	4.98e-68
"259"	"B.cells.memory"	"V823"	0.219	1.02e-218
"260"	"B.cells.memory"	"V830"	-0.0876	7.78e-36
"261"	"B.cells.memory"	"V834"	-0.226	2.67e-232
"262"	"B.cells.memory"	"V838"	0.359	0
"263"	"B.cells.memory"	"V844"	-0.0745	2.44e-26
"264"	"B.cells.memory"	"V851"	-0.176	1.83e-141
"265"	"Plasma.cells"	"V13"	-0.394	0
"266"	"Plasma.cells"	"V14"	-0.0936	1.08e-40
"267"	"Plasma.cells"	"V17"	-0.0374	9.8e-08
"268"	"Plasma.cells"	"V23"	0.514	0
"269"	"Plasma.cells"	"V25"	-0.269	0
"270"	"Plasma.cells"	"V27"	-0.193	8.73e-170
"271"	"Plasma.cells"	"V37"	0.0462	4.58e-11
"272"	"Plasma.cells"	"V40"	0.0138	0.050160194
"273"	"Plasma.cells"	"V52"	-0.0176	0.012289982
"274"	"Plasma.cells"	"V54"	-0.207	1.31e-195
"275"	"Plasma.cells"	"V67"	-0.0434	6.28e-10
"276"	"Plasma.cells"	"V68"	-0.0155	0.027392956
"277"	"Plasma.cells"	"V83"	-0.104	3.03e-50
"278"	"Plasma.cells"	"V94"	-0.0715	2.18e-24
"279"	"Plasma.cells"	"V100"	-0.0434	6.52e-10
"280"	"Plasma.cells"	"V112"	0.0457	7.86e-11
"281"	"Plasma.cells"	"V118"	-0.219	2.49e-218
"282"	"Plasma.cells"	"V119"	-0.0279	7.08e-05
"283"	"Plasma.cells"	"V140"	-0.122	6.91e-68
"284"	"Plasma.cells"	"V142"	-0.00826	0.239934762
"285"	"Plasma.cells"	"V149"	0.108	3.08e-53
"286"	"Plasma.cells"	"V150"	0.041	5.08e-09
"287"	"Plasma.cells"	"V155"	-0.00212	0.763315849
"288"	"Plasma.cells"	"V157"	-0.00443	0.528313978
"289"	"Plasma.cells"	"V159"	0.0546	6.96e-15
"290"	"Plasma.cells"	"V166"	-0.185	2.34e-155
"291"	"Plasma.cells"	"V180"	-0.105	1.59e-50
"292"	"Plasma.cells"	"V184"	0.464	0
"293"	"Plasma.cells"	"V189"	0.159	9.18e-115
"294"	"Plasma.cells"	"V190"	0.251	1.13e-289
"295"	"Plasma.cells"	"V205"	0.0797	6.09e-30
"296"	"Plasma.cells"	"V219"	-0.0324	3.9e-06
"297"	"Plasma.cells"	"V222"	-0.211	1.48e-202
"298"	"Plasma.cells"	"V227"	-0.144	4.92e-94
"299"	"Plasma.cells"	"V231"	0.127	1.75e-73
"300"	"Plasma.cells"	"V238"	-0.136	7.42e-84
"301"	"Plasma.cells"	"V241"	-0.233	1.23e-248
"302"	"Plasma.cells"	"V255"	-0.0099	0.158624213
"303"	"Plasma.cells"	"V256"	-0.0309	1.06e-05
"304"	"Plasma.cells"	"V260"	0.0128	0.068510537
"305"	"Plasma.cells"	"V261"	-0.308	0
"306"	"Plasma.cells"	"V268"	0.12	4.77e-66
"307"	"Plasma.cells"	"V270"	0.0836	9.38e-33
"308"	"Plasma.cells"	"V281"	-0.129	3.98e-76
"309"	"Plasma.cells"	"V284"	-0.289	0
"310"	"Plasma.cells"	"V286"	-0.178	2.47e-143
"311"	"Plasma.cells"	"V287"	0.28	0
"312"	"Plasma.cells"	"V294"	0.0345	8.96e-07
"313"	"Plasma.cells"	"V308"	0.0123	0.079628553
"314"	"Plasma.cells"	"V327"	-0.178	1.78e-144
"315"	"Plasma.cells"	"V337"	0.158	3.56e-113
"316"	"Plasma.cells"	"V362"	0.147	1.41e-98
"317"	"Plasma.cells"	"V370"	-0.123	3.83e-69
"318"	"Plasma.cells"	"V375"	-0.149	2.56e-100
"319"	"Plasma.cells"	"V385"	-0.111	5.35e-57
"320"	"Plasma.cells"	"V386"	0.129	3.61e-76
"321"	"Plasma.cells"	"V392"	-0.095	7.64e-42
"322"	"Plasma.cells"	"V393"	-0.035	6.45e-07
"323"	"Plasma.cells"	"V400"	0.0205	0.003537227
"324"	"Plasma.cells"	"V403"	0.0319	5.47e-06
"325"	"Plasma.cells"	"V405"	0.025	0.000373834
"326"	"Plasma.cells"	"V423"	0.0102	0.148470284
"327"	"Plasma.cells"	"V431"	-0.0207	0.003209069
"328"	"Plasma.cells"	"V435"	-0.181	3.39e-148
"329"	"Plasma.cells"	"V451"	0.0684	1.79e-22
"330"	"Plasma.cells"	"V452"	0.0806	1.51e-30
"331"	"Plasma.cells"	"V455"	0.0361	2.78e-07
"332"	"Plasma.cells"	"V458"	0.0121	0.085781656
"333"	"Plasma.cells"	"V461"	0.0601	1.12e-17
"334"	"Plasma.cells"	"V464"	0.113	1.6e-58
"335"	"Plasma.cells"	"V469"	0.0881	3.37e-36
"336"	"Plasma.cells"	"V473"	0.119	1.41e-64
"337"	"Plasma.cells"	"V479"	0.184	4.42e-153
"338"	"Plasma.cells"	"V484"	0.0469	2.32e-11
"339"	"Plasma.cells"	"V493"	0.15	1.23e-102
"340"	"Plasma.cells"	"V504"	0.113	1.88e-58
"341"	"Plasma.cells"	"V519"	-0.0613	2.32e-18
"342"	"Plasma.cells"	"V527"	0.071	4.85e-24
"343"	"Plasma.cells"	"V528"	0.0591	3.64e-17
"344"	"Plasma.cells"	"V533"	0.117	1.32e-62
"345"	"Plasma.cells"	"V537"	-0.0495	1.76e-12
"346"	"Plasma.cells"	"V562"	0.0498	1.26e-12
"347"	"Plasma.cells"	"V570"	-0.0307	1.25e-05
"348"	"Plasma.cells"	"V576"	0.0981	1.53e-44
"349"	"Plasma.cells"	"V590"	0.0512	3.03e-13
"350"	"Plasma.cells"	"V592"	-0.0432	7.97e-10
"351"	"Plasma.cells"	"V611"	-0.13	5.6e-77
"352"	"Plasma.cells"	"V625"	0.0789	2.49e-29
"353"	"Plasma.cells"	"V626"	0.0295	2.64e-05
"354"	"Plasma.cells"	"V628"	-0.248	1.78e-282
"355"	"Plasma.cells"	"V632"	-0.0346	8.37e-07
"356"	"Plasma.cells"	"V645"	-0.127	6e-74
"357"	"Plasma.cells"	"V648"	-0.122	1.13e-67
"358"	"Plasma.cells"	"V657"	0.0611	3.15e-18
"359"	"Plasma.cells"	"V658"	0.0326	3.35e-06
"360"	"Plasma.cells"	"V662"	0.0238	0.000700928
"361"	"Plasma.cells"	"V663"	0.0241	0.000616659
"362"	"Plasma.cells"	"V675"	-0.185	8.62e-155
"363"	"Plasma.cells"	"V677"	0.0373	1.06e-07
"364"	"Plasma.cells"	"V678"	0.0873	1.35e-35
"365"	"Plasma.cells"	"V681"	0.0336	1.68e-06
"366"	"Plasma.cells"	"V684"	-0.0538	1.76e-14
"367"	"Plasma.cells"	"V689"	-0.138	3.29e-87
"368"	"Plasma.cells"	"V702"	0.0704	1.07e-23
"369"	"Plasma.cells"	"V703"	-0.0292	3.17e-05
"370"	"Plasma.cells"	"V710"	-0.189	5.19e-162
"371"	"Plasma.cells"	"V719"	-0.0238	0.000705622
"372"	"Plasma.cells"	"V723"	-0.182	1.32e-150
"373"	"Plasma.cells"	"V731"	-0.0858	1.84e-34
"374"	"Plasma.cells"	"V743"	0.0285	4.98e-05
"375"	"Plasma.cells"	"V746"	0.168	5.01e-128
"376"	"Plasma.cells"	"V750"	0.352	0
"377"	"Plasma.cells"	"V759"	-0.0722	7.23e-25
"378"	"Plasma.cells"	"V772"	0.0622	7.4e-19
"379"	"Plasma.cells"	"V774"	-0.00952	0.1753492
"380"	"Plasma.cells"	"V790"	0.0482	6.93e-12
"381"	"Plasma.cells"	"V792"	-0.116	1.49e-61
"382"	"Plasma.cells"	"V794"	-0.00622	0.375751869
"383"	"Plasma.cells"	"V802"	0.217	4.74e-215
"384"	"Plasma.cells"	"V804"	0.158	7.02e-114
"385"	"Plasma.cells"	"V810"	0.187	1.67e-159
"386"	"Plasma.cells"	"V814"	0.0797	5.92e-30
"387"	"Plasma.cells"	"V817"	-0.201	9.35e-184
"388"	"Plasma.cells"	"V820"	0.0131	0.062840454
"389"	"Plasma.cells"	"V821"	0.138	1.29e-86
"390"	"Plasma.cells"	"V822"	-0.0489	3.41e-12
"391"	"Plasma.cells"	"V823"	-0.0583	1.03e-16
"392"	"Plasma.cells"	"V830"	-0.123	3.34e-69
"393"	"Plasma.cells"	"V834"	0.0916	5.09e-39
"394"	"Plasma.cells"	"V838"	-0.329	0
"395"	"Plasma.cells"	"V844"	-0.0248	0.000404931
"396"	"Plasma.cells"	"V851"	-0.0662	4.11e-21
"397"	"T.cells.CD8"	"V13"	0.0523	9.1e-14
"398"	"T.cells.CD8"	"V14"	-0.0697	3.04e-23
"399"	"T.cells.CD8"	"V17"	-0.159	6.29e-115
"400"	"T.cells.CD8"	"V23"	-0.122	5.24e-68
"401"	"T.cells.CD8"	"V25"	0.0581	1.23e-16
"402"	"T.cells.CD8"	"V27"	-0.129	1.23e-75
"403"	"T.cells.CD8"	"V37"	0.215	4.26e-210
"404"	"T.cells.CD8"	"V40"	-0.106	1.57e-51
"405"	"T.cells.CD8"	"V52"	-0.000178	0.979755605
"406"	"T.cells.CD8"	"V54"	0.0644	4.35e-20
"407"	"T.cells.CD8"	"V67"	0.0724	5.8e-25
"408"	"T.cells.CD8"	"V68"	-0.123	6.59e-69
"409"	"T.cells.CD8"	"V83"	0.021	0.002840876
"410"	"T.cells.CD8"	"V94"	-0.0166	0.018087145
"411"	"T.cells.CD8"	"V100"	0.0838	5.99e-33
"412"	"T.cells.CD8"	"V112"	-0.0588	5.59e-17
"413"	"T.cells.CD8"	"V118"	-0.0126	0.073237441
"414"	"T.cells.CD8"	"V119"	-0.00212	0.763147893
"415"	"T.cells.CD8"	"V140"	-0.136	1.07e-84
"416"	"T.cells.CD8"	"V142"	0.145	1.4e-95
"417"	"T.cells.CD8"	"V149"	0.162	2.76e-119
"418"	"T.cells.CD8"	"V150"	-0.0194	0.005780813
"419"	"T.cells.CD8"	"V155"	0.174	7.96e-137
"420"	"T.cells.CD8"	"V157"	0.115	4.74e-61
"421"	"T.cells.CD8"	"V159"	-0.0585	7.35e-17
"422"	"T.cells.CD8"	"V166"	0.0181	0.010010612
"423"	"T.cells.CD8"	"V180"	-0.034	1.3e-06
"424"	"T.cells.CD8"	"V184"	-0.134	2.75e-82
"425"	"T.cells.CD8"	"V189"	-0.0432	7.84e-10
"426"	"T.cells.CD8"	"V190"	0.221	1.26e-223
"427"	"T.cells.CD8"	"V205"	0.131	3.81e-78
"428"	"T.cells.CD8"	"V219"	0.19	2.6e-164
"429"	"T.cells.CD8"	"V222"	-0.101	1.81e-47
"430"	"T.cells.CD8"	"V227"	-0.186	1.34e-157
"431"	"T.cells.CD8"	"V231"	0.253	2.69e-293
"432"	"T.cells.CD8"	"V238"	-0.197	7.01e-176
"433"	"T.cells.CD8"	"V241"	-0.154	7.96e-108
"434"	"T.cells.CD8"	"V255"	-0.0538	1.74e-14
"435"	"T.cells.CD8"	"V256"	-0.116	2.08e-61
"436"	"T.cells.CD8"	"V260"	-0.00856	0.223135354
"437"	"T.cells.CD8"	"V261"	-0.233	3.87e-248
"438"	"T.cells.CD8"	"V268"	0.192	5.48e-167
"439"	"T.cells.CD8"	"V270"	-0.0848	1.23e-33
"440"	"T.cells.CD8"	"V281"	0.0753	7.19e-27
"441"	"T.cells.CD8"	"V284"	-0.278	0
"442"	"T.cells.CD8"	"V286"	-0.095	7.03e-42
"443"	"T.cells.CD8"	"V287"	-0.09	9.34e-38
"444"	"T.cells.CD8"	"V294"	0.168	9.82e-129
"445"	"T.cells.CD8"	"V308"	0.0857	2.19e-34
"446"	"T.cells.CD8"	"V327"	0.0236	0.000794449
"447"	"T.cells.CD8"	"V337"	0.0543	1.01e-14
"448"	"T.cells.CD8"	"V362"	0.0866	4.7e-35
"449"	"T.cells.CD8"	"V370"	-0.0739	5.74e-26
"450"	"T.cells.CD8"	"V375"	-0.0463	4.2e-11
"451"	"T.cells.CD8"	"V385"	0.0853	5.12e-34
"452"	"T.cells.CD8"	"V386"	-0.0131	0.061803209
"453"	"T.cells.CD8"	"V392"	-0.0943	3.12e-41
"454"	"T.cells.CD8"	"V393"	0.108	2.57e-53
